time,weight,height,bmi,fatRate,bodyWaterRate,boneMass,metabolism,muscleRate,visceralFat
1617444027,65.5,175.0,21.3,16.098434,57.556473,2.795701,1539.0,52.159824,6.0,593
1617533030,65.1,175.0,21.2,15.612403,57.889893,2.7947106,1533.0,52.141613,5.0,577
1617618284,64.7,175.0,21.1,15.425152,58.018345,2.7835488,1527.0,51.936375,5.0,590
1617618309,64.8,175.0,21.1,15.506291,57.962685,2.7851994,1528.0,51.96673,5.0,590
1617705001,65.25,175.0,21.3,15.586935,57.907364,2.8020968,1535.0,52.277428,5.0,563
1617705030,65.25,175.0,21.3,15.586935,57.907364,2.8020968,1535.0,52.277428,5.0,563
1617790921,65.7,175.0,21.4,15.925226,57.675297,2.810226,1542.0,52.4269,6.0,561
1617877591,64.4,175.0,21.0,15.328068,58.084946,2.7736866,1522.0,51.75504,5.0,604
1617963977,64.5,175.0,21.0,15.103992,58.238663,2.7855089,1524.0,51.972416,5.0,575
1618051252,64.7,175.0,21.1,15.498722,57.967876,2.7810936,1527.0,51.89123,5.0,597
1618138298,64.2,175.0,20.9,null,null,null,null,null,null,null
1618138322,64.2,175.0,20.9,14.67675,58.53175,2.7865198,1519.0,51.991005,5.0,558
1618223347,64.2,175.0,20.9,15.026282,58.29197,2.7749453,1519.0,51.77818,5.0,591
1618308492,64.8,175.0,21.1,15.548266,57.933887,2.7837963,1528.0,51.94093,5.0,594
1618395968,64.25,175.0,20.9,15.437938,58.009575,2.7634945,1520.0,51.56763,5.0,626
1618475737,64.6,175.0,21.0,15.470084,57.987522,2.7776892,1525.0,51.828636,5.0,602
1618568219,64.95,175.0,21.2,15.627519,57.87952,2.7876751,1531.0,52.01225,5.0,590
1618655131,64.75,175.0,21.1,15.465753,57.990494,2.784374,1528.0,51.95155,5.0,590
1618742499,64.6,175.0,21.0,15.3648205,58.059734,2.7811968,1525.0,51.893127,5.0,592
1618828145,65.1,175.0,21.2,15.455721,57.997375,2.7999718,1533.0,52.238354,5.0,562
1618915003,64.85,175.0,21.1,15.410446,58.028435,2.7905843,1529.0,52.06574,5.0,577
1619001146,64.7,175.0,21.1,15.635353,57.87415,2.7765338,1527.0,51.80739,5.0,610
1619087881,65.0,175.0,21.2,15.7305765,57.808823,2.786396,1531.0,51.988728,5.0,596
