com.samsung.shealth.social.public_challenge.history,6233003,1
update_time,create_time,body,challenge_time,deviceuuid,pkg_name,last_sync_time,datauuid
2023-03-25 19:28:37.902,2020-12-13 21:10:39.644,1aeef6e7-ad59-4425-ae94-d2d8d1481251.body.json,SIMPLE_LEVEL,yfgkJHa6g4,com.sec.android.app.shealth,1679772517898,1aeef6e7-ad59-4425-ae94-d2d8d1481251,
2020-12-13 21:10:56.411,2020-12-13 21:10:56.411,ba40175d-8377-4ea9-9694-dcdf168fa4d6.body.json,PcUserProfileDataMY4416329_20,yfgkJHa6g4,com.sec.android.app.shealth,1607893856399,ba40175d-8377-4ea9-9694-dcdf168fa4d6,
2021-01-10 10:49:52.226,2021-01-03 18:23:00.716,09e396dd-d938-4e0c-8e18-871c17756bfe.body.json,PcUserProfileDataMY4416329_-1,yfgkJHa6g4,com.sec.android.app.shealth,1610275792225,09e396dd-d938-4e0c-8e18-871c17756bfe,
2021-01-19 22:55:30.620,2021-01-19 22:55:30.620,ba07c6dc-0a50-4b4b-927c-5e992ed36283.body.json,PcUserProfileDataMY4416329_21,yfgkJHa6g4,com.sec.android.app.shealth,1611096930606,ba07c6dc-0a50-4b4b-927c-5e992ed36283,
