com.samsung.health.food_info,6233003,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
24.0,0.6666667,0.0,0.0,33.0,"131 kcal, por 100g",,fatsecret-39764,100,6.0,,1.05,2023-09-10 17:51:54.620,2018-09-07 19:45:06.054,0.124,5.15,0.429,6.3333335,Macarrão Fresco (Cozido),,,0.46153846,131.0,g,,xoyixJvqZs,g,0.15,,com.sec.android.app.shealth,24.93,0.76,a799aa5f-b771-4bf1-abc7-f1293ae769a5,100,
,,,,,"386 kcal, por 1 pacote (85g)",,fatsecret-6460106,85,1357.0,2.4,16.0,2018-09-14 03:19:49.323,2018-09-14 03:19:49.323,,9.4,,,Miojo Tomate Suave(Nissin),,,,386.0,porção,,zjIwstRrv1,g,6.0,6.6,com.sec.android.app.shealth,51.0,0.22020726,f75ed3bc-4fb6-4df5-8b37-04ade7b77852,1,
,,,,,"188 kcal, por 1 unidade (112g)",,fatsecret-4176158,112,413.0,0.37,5.0,2018-09-09 02:00:12.713,2018-09-09 02:00:12.713,,5.97,,,Hot Filadélfia(Sushiaki),,,,188.0,porção,,zjIwstRrv1,g,,,com.sec.android.app.shealth,28.61,0.5959983,50f46984-e87c-4776-bcee-235c7062d92d,1,
132.0,0.8888889,2.0,0.0,242.0,"185 kcal, por 100g",,fatsecret-34411,100,48.0,0.0,7.92,2023-10-05 16:30:35.632,2018-09-22 12:47:19.870,2.01,26.41,2.3,50.166668,Coração de Frango,,,1.4615384,185.0,g,,xoyixJvqZs,g,2.26,,com.sec.android.app.shealth,0.1,0.5410448,dadc8499-d917-4f7b-b1f3-aaf02555de9c,100,
,,,,0.0,"265 kcal, por 1 unidade (80g)",,fatsecret-11322487,80,430.0,1.2,13.6,2018-09-09 20:39:11.050,2018-09-09 20:39:11.050,,5.3,,,Pão de Alho (80g)(Santa Massa),,,,265.0,porção,,zjIwstRrv1,g,5.1,2.1,com.sec.android.app.shealth,29.5,0.30234316,d1d5b59a-bdd5-4e0a-9046-3cd1175e5ca9,1,
0.0,0.0,0.0,,0.0,"474.0 kcal, 1",,quickinput-8dab6c59-a6ac-4eab-9612-951174d9da94,1,639.0,3.1,34.0,2023-08-17 02:01:56.016,2020-12-26 23:24:43.339,0.0,34.0,0.0,0.0,Chessburguer Madero menos sal (Madero),0.0,,0.0,474.0,porção,,xoyixJvqZs,120001,16.0,0.0,com.sec.android.app.shealth,37.0,1.0,fbe90cb4-d73c-44bc-8fb6-b13e3d8b9eea,1,
,,,,,"77 kcal, por 4 unidades (20g)",,fatsecret-5587163,20,,,0.5,2018-09-09 20:42:15.798,2018-09-09 20:42:15.798,,0.0,,,Bala Yogurte(Dori),,,,77.0,porção,,zjIwstRrv1,g,0.0,0.0,com.sec.android.app.shealth,18.0,0.25974026,7cc19553-897f-436e-8bdf-0c786fd3ab7e,1,
0.0,0.0,0.0,,0.0,"335.0 kcal, 1",,quickinput-f9f2e572-0c10-4823-a9c0-9d3114f62b29,1,106.0,1.3,15.0,2020-12-29 11:35:09.539,2020-12-27 11:31:33.580,0.0,4.9,0.0,0.0,Chocotone (Zaffari),0.0,,0.0,335.0,porção,,yfgkJHa6g4,120001,8.1,0.0,com.sec.android.app.shealth,42.0,1.0,eb168420-c041-4e4e-8fcd-2a8db1d482e3,1,
346.0,0.0,0.0,0.0,62.0,"137 kcal, por 100g",,fatsecret-40391,100,66.0,0.0,5.0,2023-09-29 17:14:59.893,2018-09-07 19:46:49.533,2.151,21.41,0.257,13.222223,Carne de Vaca Moída (95% Magro / 5% Gordo),0.0,,0.6923077,137.0,g,,xoyixJvqZs,g,2.25,0.341,com.sec.android.app.shealth,0.0,0.7368421,b4ac2d99-0f47-4bd0-bc31-b526fa3fde90,100,
0.0,,,,33.0,"112 kcal, por 1 fatia (30g)",,fatsecret-2471938,30,112.0,0.0,9.5,2018-09-19 11:24:59.758,2018-09-19 11:24:59.758,,6.5,,,Queijo Prato(Tirolez),0.0,,,112.0,porção,,zjIwstRrv1,g,6.1,,com.sec.android.app.shealth,0.0,0.26785713,bc13cd08-4e35-4c92-9a6c-b58a87c37088,1,
122.0,14.0,0.0,,32.0,"775 kcal, por 373g",,fatsecret-5080,200,334.0,2.8,17.18,2020-12-27 15:45:02.590,2020-12-27 15:45:02.590,5.874,16.26,2.622,12.0,Macarrão Cremoso com Queijo,1.04,,18.0,416.0,xícara,,yfgkJHa6g4,g,7.386,,com.sec.android.app.shealth,48.18,0.48076922,45af4507-be77-4b65-a1fd-e10faa19fea5,1,
86.0,1.0,0.0,,34.0,"216 kcal, por 101g",,fatsecret-1677,38,157.0,0.0,4.2,2020-12-27 15:33:45.761,2018-09-22 12:47:19.872,1.602,10.18,0.942,3.0,Coxa de Frango,0.0,,0.0,81.0,"pequena (produto após cozinhado, ossos removidos)",,yfgkJHa6g4,g,1.149,,com.sec.android.app.shealth,0.0,0.4691358,b27d0b7d-8782-484f-be81-f82b0cb2b894,1,
215.0,1.1111112,4.5555553,0.0,0.0,"93 kcal, por 105g",,fatsecret-7079524,90,206.0,2.4,0.63,2023-09-29 01:14:33.716,2020-12-28 00:10:44.438,0.185,2.67,0.298,2.8888888,Milho Verde Cozido,3.08,,0.23076923,80.0,espiga,,xoyixJvqZs,g,0.098,,com.sec.android.app.shealth,19.14,1.1320754,6db365fe-b5e6-457b-805b-c11eb152bb30,1,
153.0,0.11111111,65.333336,0.0,0.0,"32 kcal, por 100g",,fatsecret-35976,100,1.0,2.0,0.3,2023-09-16 03:23:13.629,2018-09-16 14:20:56.088,0.043,0.67,0.155,2.3333333,Morangos,4.66,,1.2307693,32.0,g,,xoyixJvqZs,g,0.015,,com.sec.android.app.shealth,7.68,3.1020408,7201af0c-151a-47d5-9706-55698e88a6a6,100,
,,,,,"167 kcal, por 2 dosasores (40g)",,fatsecret-6144445,40,114.0,0.0,3.0,2018-09-10 21:24:10.790,2018-09-10 21:24:10.790,,31.0,,,Top Whey 3W(Max Titanium),,,,167.0,porção,,zjIwstRrv1,g,1.1,0.0,com.sec.android.app.shealth,3.9,0.23952095,1214ef4e-c837-45f9-a820-4bdee7219682,1,
,,,,0.0,"71 kcal, por 3 unidades (30g)",,fatsecret-4057902,30,3.0,2.3,0.0,2020-12-28 22:26:42.245,2020-12-28 22:26:42.245,,1.1,,,Damasco Seco(Estrela do Oriente),,,,71.0,porção,,yfgkJHa6g4,g,0.0,0.0,com.sec.android.app.shealth,19.0,0.4225352,cbbb0671-4d0f-4436-acaf-548b321a1695,1,
120.0,1.0,0.33333334,0.0,13.0,"146 kcal, por 100g",,fatsecret-437027,28,13.0,0.0,1.68,2023-09-16 03:23:13.735,2018-09-09 02:00:12.710,0.605,6.13,0.565,0.8888889,Sashimi de Salmão,0.0,,0.7692308,41.0,unidade,,xoyixJvqZs,g,0.357,,com.sec.android.app.shealth,0.0,0.6914634,7c4bd148-79ee-464b-83ae-98c25ebf60e1,1,
,0.0,0.0,0.0,,"173 kcal, por 1/4 xícara (50g)",,fatsecret-7421426,50,6.0,0.0,0.0,2023-09-02 00:52:30.315,2020-12-29 00:10:19.632,,3.0,,0.0,Arroz Japonês(GUIN),,,0.0,173.0,porção,,xoyixJvqZs,g,0.0,0.0,com.sec.android.app.shealth,40.0,0.28901735,0b97dd1e-ccb7-4d2d-bcd8-419d796ac3d9,1,
63.0,0.0,0.0,,0.0,"158 kcal, por 101g",,fatsecret-4397,140,325.0,2.5,1.29,2018-09-11 00:50:52.263,2018-09-11 00:50:52.263,0.182,8.06,0.444,10.0,Macarrão,0.78,,1.0,220.0,"xícara, cozido",,zjIwstRrv1,g,0.245,,com.sec.android.app.shealth,42.95,0.6363636,5c6cd7a7-db8f-41c8-92a1-a70bb3bfd554,1,
,,,,,"61 kcal, por 1 copo (200ml)",,fatsecret-1770301,200,130.0,,0.0,2018-09-08 15:20:57.924,2018-09-08 15:20:57.924,,6.0,,,Leite Desnatado(Elegê),,,21.0,61.0,porção,,zjIwstRrv1,ml,,,com.sec.android.app.shealth,9.3,,aea342a0-029a-40e5-9d69-1cbfcb2cfcf5,1,
,,,,0.0,"40 kcal, por 1 porção (12g)",,fatsecret-4568698,12,185.0,0.0,3.2,2018-09-09 01:55:14.011,2018-09-09 01:55:14.011,,2.3,,,Queijo Cheddar ou Suíço(Subway),,,,40.0,porção,,zjIwstRrv1,g,1.9,0.0,com.sec.android.app.shealth,0.0,0.3,7ea126d0-84a6-49e0-bb91-d8bd139977f9,1,
,,,,,"80 kcal, por 1 colher sopa (30g)",,fatsecret-28998528,30,128.0,0.0,7.3,2020-12-30 00:42:32.032,2020-12-30 00:42:32.032,,3.4,,,Catupiry Original(Catupiry),,,,80.0,porção,,yfgkJHa6g4,g,4.5,0.3,com.sec.android.app.shealth,0.0,0.375,192507d5-18dd-48f4-b265-2e2fdd338642,1,
0.0,0.0,0.0,,0.0,MyFitnessPal Café da manhã,,100001-Sat Dec 26 00:00:00 GMT-03:00 2020,0,173.0,0.0,9.6,2020-12-27 11:15:57.367,2020-12-27 11:15:57.367,0.0,12.6,0.0,0.0,MyFitnessPal Café da manhã,0.0,,21.0,285.6,,,yfgkJHa6g4,,0.0,0.0,com.myfitnesspal.android,46.3,,c33a2473-232c-4e34-8046-88583f0854b3,,
652.0,0.0,27.333334,0.0,0.0,"151 kcal, por 200g",,fatsecret-5180720,240,553.0,6.1,2.04,2023-08-23 16:12:15.225,2018-09-10 14:55:19.679,0.286,12.08,0.947,22.555555,Feijão Carioca Cozido,0.29,,7.923077,181.0,xícara,,xoyixJvqZs,g,0.338,,com.sec.android.app.shealth,32.66,1.3259668,f546ad13-e0bc-41bd-bd1c-24a988c32e47,1,
0.0,0.0,0.0,,0.0,MyFitnessPal Jantar,,100003-Sat Dec 26 00:00:00 GMT-03:00 2020,0,594.0,2.9,33.0,2020-12-27 11:15:57.526,2020-12-27 11:15:57.526,0.0,34.0,0.0,0.0,MyFitnessPal Jantar,0.0,,0.0,466.0,,,yfgkJHa6g4,,16.0,0.0,com.myfitnesspal.android,37.0,,347174b3-c7c2-4687-8cfa-ecaabdf45b5c,,
0.0,0.0,0.0,,0.0,"130.0 kcal, 1",,quickinput-fe1bf870-f7a7-42be-8f90-b1412474ee7d,1,10.0,1.0,7.6,2020-12-30 17:15:58.264,2020-12-30 17:15:48.274,0.0,1.6,0.0,0.0,Bombom chocolatr,0.0,,0.0,130.0,porção,,yfgkJHa6g4,120001,4.0,0.0,com.sec.android.app.shealth,13.0,1.0,f8a73b6c-9f29-4e72-ad72-ad3aa82b9cc3,1,
0.0,0.0,0.0,0.0,0.0,"0 kcal, por 1 colher de café",,fatsecret-4485037,1,0.0,0.0,0.0,2023-10-06 12:28:59.339,2020-12-27 11:32:24.733,0.0,0.0,0.0,0.0,Café Solúvel em Pó(Café Iguaçu),0.0,,0.0,0.0,porção,,xoyixJvqZs,g,0.0,0.0,com.sec.android.app.shealth,0.0,,c78ef3d9-a478-40ea-a580-ebd617aac9b5,1,
363.0,0.0,90.0,,110.0,MyFitnessPal Almoço,,100002-Sat Dec 26 00:00:00 GMT-03:00 2020,0,73.1,7.7000003,16.4,2020-12-27 11:15:57.413,2020-12-27 11:15:57.413,7.6,32.3,2.6,16.1,MyFitnessPal Almoço,0.1,,6.7,712.6,,,yfgkJHa6g4,,4.6,0.0,com.myfitnesspal.android,43.9,,f24ed047-f5a6-46ed-a948-56b129493126,,
102.0,0.8888889,0.0,0.0,39.0,"172 kcal, por 101g",,fatsecret-1679,42,175.0,0.0,2.36,2023-08-27 17:16:31.489,2020-12-27 15:41:49.540,0.779,11.78,0.571,3.0000002,Coxa de Frango (Pele Não Consumida),0.0,,0.3846154,72.0,"média (produto após cozinhado, ossos e pele removidos)",,xoyixJvqZs,g,0.616,,com.sec.android.app.shealth,0.0,0.58181816,50f8a2a4-cf83-46c9-97e6-f39aa6786cd7,1,
,,,,41.0,"298 kcal, por 1 fatia (80g)",,fatsecret-14059393,80,101.0,1.8,14.0,2021-01-01 01:21:48.527,2021-01-01 01:21:48.527,,5.9,,,Chocottone Maxi(Bauducco),,,,298.0,porção,,yfgkJHa6g4,g,7.4,0.0,com.sec.android.app.shealth,37.0,0.26845637,0fa35cde-73fb-4648-b8e5-8c60c9c41d30,1,
157.0,0.0,0.0,0.0,34.0,"259 kcal, por 89g",,fatsecret-2741,93,369.0,1.1,10.97,2023-10-01 18:31:42.029,2020-12-28 00:10:44.437,4.521,14.61,1.325,14.888889,Hambúrguer no Pão,3.39,,6.6153846,270.0,hambúrguer,,xoyixJvqZs,g,3.964,,com.sec.android.app.shealth,26.81,0.34444445,db38d715-cb38-4f22-a359-5c6012872c53,1,
66.0,7.7777777,0.0,0.0,210.0,"84 kcal, por 50g",,fatsecret-3097,44,223.0,0.0,4.93,2023-09-08 16:31:07.083,2020-12-28 00:10:44.438,1.89,6.24,0.677,5.0555553,Ovo Frito sem Gordura,0.38,,2.0,73.0,grande,,xoyixJvqZs,g,1.537,,com.sec.android.app.shealth,0.38,0.6,b3c38630-9f85-4a53-9e58-e446cd664686,1,
,,,,0.0,"54 kcal, por 100g",,fatsecret-19581210,100,0.0,1.8,0.0,2020-12-30 00:35:35.893,2020-12-27 15:05:53.796,,1.2,,,Uva sem Semente(Qualitá),,,,54.0,porção,,yfgkJHa6g4,g,0.0,0.0,com.sec.android.app.shealth,26.0,1.8518518,0c1d1b78-5e3e-489c-ab3b-35830e992a67,1,
72.0,0.0,0.0,,0.0,"274 kcal, por 100g",,fatsecret-284041,64,390.0,1.9,1.92,2020-12-28 21:21:54.945,2020-12-28 21:21:54.945,0.778,5.63,0.444,9.0,Baguette,0.15,,4.0,175.0,fatia média,,yfgkJHa6g4,g,0.41,,com.sec.android.app.shealth,33.22,0.37,bbe60192-2f84-4b75-83e8-d47092acc68f,1,
355.0,0.0,0.0,0.0,0.0,"132 kcal, por 100g",,fatsecret-38226,100,1.0,8.7,0.54,2023-10-05 16:30:35.725,2023-03-30 21:13:26.469,0.047,8.86,0.231,11.666666,Feijão Preto Cozido,,,2.0769231,132.0,g,,xoyixJvqZs,g,0.139,,com.sec.android.app.shealth,23.71,0.75770926,5d82ab8d-f0a3-4e1e-b88e-c4fea3300b84,100,
0.0,0.0,0.0,,0.0,"884 kcal, por 100g",,fatsecret-34212,14,0.0,0.0,13.5,2020-12-28 21:21:54.946,2020-12-28 21:21:54.946,9.85,0.0,1.421,0.0,Azeite de Oliva,0.0,,0.0,119.0,colher de sopa,,yfgkJHa6g4,g,1.864,,com.sec.android.app.shealth,0.0,0.11344538,1d78f9a7-cb1f-47e4-83d4-b4921ea9e329,1,
,,,,0.0,"80 kcal, por 1 colher de sopa (12g)",,fatsecret-6075968,12,,0.0,8.7,2020-12-28 00:10:44.437,2020-12-28 00:10:44.437,,0.0,,,Maionese(Heinz),0.0,,,80.0,porção,,yfgkJHa6g4,g,1.5,0.0,com.sec.android.app.shealth,0.0,0.15,3dc74b37-caf1-42e7-add3-59944aabfe4f,1,
257.0,7.0,50.77778,0.0,0.0,"65 kcal, por 100g",,fatsecret-35863,165,3.0,3.0,0.45,2023-09-16 03:23:13.509,2020-12-29 00:10:19.631,0.167,0.84,0.084,1.1666666,Mangas,24.42,,1.2307693,107.0,"xícara, fatiadas",,xoyixJvqZs,g,0.109,,com.sec.android.app.shealth,28.05,1.5420561,f790f382-6461-434d-ba42-72123a8be87f,1,
,,,,0.0,"61 kcal, por 1 copo (200ml)",,fatsecret-4301298,200,100.0,0.0,0.0,2020-12-26 23:31:19.123,2018-09-08 15:21:01.544,,6.3,,,Leite Desnatado(Tirol),,,,61.0,porção,,yfgkJHa6g4,ml,0.0,0.0,com.sec.android.app.shealth,9.0,,6d630cc4-be4a-46d7-8372-64e806c7ee67,1,
359.0,0.22222222,1.0,0.0,66.0,"136 kcal, por 100g",,fatsecret-36207,100,49.0,0.0,5.41,2023-10-03 16:26:30.876,2023-08-25 17:20:44.393,2.42,20.54,0.58,6.666667,Carne de Porco do Lombo (Filé),,,0.3846154,136.0,g,,xoyixJvqZs,g,1.87,,com.sec.android.app.shealth,0.0,0.7269231,09f35cd4-06cd-47f8-96f5-11a007d4ef9b,100,
0.0,0.0,0.0,0.0,2.0,"37 kcal, por 1 colher de sopa (12g)",,fatsecret-3574021,12,89.0,0.0,3.7,2023-08-22 22:39:56.528,2020-12-28 21:21:54.946,0.9,0.0,2.4,0.0,Maionese(Hellmann's),0.3,,0.0,37.0,porção,,xoyixJvqZs,g,0.6,0.0,com.sec.android.app.shealth,0.8,0.3243243,532bf7ee-ccc3-4524-9045-f6777a53deaa,1,
,,,,0.0,"86 kcal, por 1 colher de sopa (15g)",,fatsecret-17081875,15,2.0,2.0,7.0,2020-12-29 00:10:19.632,2020-12-29 00:10:19.632,,3.0,,,Gergelim Preto(Frutos da Terra),,,,86.0,porção,,yfgkJHa6g4,g,1.0,0.0,com.sec.android.app.shealth,4.0,0.1744186,cd0283d6-45ca-4bdf-97aa-0fdffdc0a0dd,1,
339.0,0.0,0.0,0.0,35.0,"125 kcal, por 100g",,fatsecret-40465,100,77.0,0.0,3.32,2023-09-19 23:39:56.173,2023-08-15 13:10:17.037,1.392,22.26,0.143,10.333333,"Carne de Vaca do Acém (Magra, Cortada até 0,3 cm de Gordura)",0.0,,1.3846154,125.0,g,,xoyixJvqZs,g,1.232,,com.sec.android.app.shealth,0.0,0.81,1db2e139-432c-4b2a-83f1-1512d084ceb6,100,
329.0,1.5555556,10.666667,0.0,52.0,"729 kcal, por 473g",,fatsecret-9033453,100,300.0,0.4,7.91,2023-09-21 03:10:49.224,2020-12-29 16:57:35.134,4.448,18.5,0.616,14.5,Vazio,0.31,,1.0,154.0,g,,xoyixJvqZs,g,2.145,0.144,com.sec.android.app.shealth,1.42,0.64896756,2af8a29c-a1d2-4aac-a7f3-c2addf3252ac,100,
,0.0,0.0,0.0,,"67 kcal, por 100g",,fatsecret-2383870,100,746.0,1.0,0.0,2023-09-21 16:22:11.656,2020-12-29 00:10:19.631,,1.0,,0.0,Sunomono(Koni Store),,,0.0,67.0,porção,,xoyixJvqZs,g,0.0,,com.sec.android.app.shealth,15.0,1.4925373,f932ad76-2ab4-4da9-afdb-ecda57609a39,1,
375.0,0.0,0.0,0.0,0.0,"32 kcal, por 100g",,fatsecret-48586048,100,10.0,1.9,0.1,2023-09-22 16:10:10.173,2023-09-22 16:10:10.173,,1.3,,0.0,Beterraba Cozida(Hortifruti),7.0,,0.0,32.0,porção,,xoyixJvqZs,g,,,com.sec.android.app.shealth,7.2,3.125,f395ae63-17af-413f-abcd-07cff499b18e,1,
34.0,0.8888889,0.7777778,0.0,10.0,"2158 kcal, por 922g",,fatsecret-4359297,40,81.0,0.4,1.44,2023-10-05 16:30:35.904,2020-12-29 16:57:35.134,0.633,2.36,0.28,5.2777777,Bolinho de Arroz,0.31,,2.7692308,94.0,bolinho,,xoyixJvqZs,g,0.417,,com.sec.android.app.shealth,17.26,0.42553192,99058d47-f604-490a-8271-ca92df67af66,1,
,0.0,0.0,0.0,,"131 kcal, por 2 unidades (25g)",,fatsecret-23081951,25,16.0,0.8,7.2,2023-09-26 16:43:07.781,2023-08-15 16:14:50.706,,1.2,,0.0,Stikadinho(Neugebauer),,,0.0,131.0,porção,,xoyixJvqZs,g,4.9,0.7,com.sec.android.app.shealth,15.0,0.1908397,384b2898-5a69-4c9a-b6d0-2ace9e8d4688,1,
,0.0,0.0,0.0,,"169 kcal, por 100g",,fatsecret-40810635,100,,,6.0,2023-09-09 15:58:57.487,2023-09-09 15:58:57.487,,21.0,,0.0,Coxão Mole Moído(Friboi),,,0.0,169.0,porção,,xoyixJvqZs,g,,,com.sec.android.app.shealth,0.0,0.591716,6a849dc7-1969-4565-83b6-414997499aab,1,
0.0,0.0,0.0,,0.0,"93.0 kcal, 1",,quickinput-c5b6c209-fa10-4db2-bf84-b6db88f47e3c,1,186.0,3.5,1.1,2020-12-31 13:47:44.261,2020-12-30 15:05:24.657,0.0,1.3,0.0,0.0,Pão integral sem casca,0.8,,0.0,93.0,porção,,yfgkJHa6g4,120001,0.3,0.0,com.sec.android.app.shealth,19.0,1.0,387f87bd-269b-460b-aa1f-e13236d3b506,1,
0.0,0.0,0.0,,0.0,"82.0 kcal, 1",,quickinput-e76d97ab-c445-4246-9b3d-52a77ac1ac07,1,588.0,0.0,3.0,2020-12-31 13:47:44.325,2020-12-30 14:04:12.569,0.0,13.0,0.0,0.0,Presunto cru espanhol,0.0,,0.0,82.0,porção,,yfgkJHa6g4,120001,1.0,0.0,com.sec.android.app.shealth,0.0,1.0,7866a672-8336-482c-8b37-98373311b341,1,
,0.0,0.0,0.0,,"358 kcal, por 1 porção (200g)",,fatsecret-56763972,200,227.0,7.0,18.0,2023-10-04 23:12:06.024,2023-10-04 23:12:06.024,,37.0,,0.0,Hambúrguer Bovino(Lafit),,,0.0,358.0,porção,,xoyixJvqZs,g,10.0,0.0,com.sec.android.app.shealth,12.0,0.5586592,e12df6fb-e11a-4555-bdd5-8999a2d0e38e,1,
170.0,4.7777777,13.666667,0.0,0.0,"30 kcal, por 100g",,fatsecret-5491,152,2.0,0.6,0.23,2023-09-07 12:33:06.180,2020-12-31 12:19:21.940,0.056,0.93,0.076,2.0,Melancia,9.42,,0.84615386,46.0,"xícara, cortada em cubos",,xoyixJvqZs,g,0.024,,com.sec.android.app.shealth,11.48,3.3343174,0f46eb86-c617-46da-9133-9e1447f0c8a4,1,
0.0,0.0,0.0,0.0,0.0,"60.0 kcal, 1",,quickinput-304d78db-519d-49ef-ab00-f0e31a1abffc,1,0.0,1.0,0.0,2023-09-29 14:25:29.748,2023-03-30 21:05:28.569,0.0,1.0,0.0,0.0,uva passa preta mercatto,0.0,0.0,0.0,60.0,porção,,xoyixJvqZs,120001,0.0,0.0,com.sec.android.app.shealth,16.0,1.0,cf551b63-9548-41dc-8bde-7f3aa278b4cc,1,
4.0,0.0,0.0,0.0,0.0,"528 kcal, por 100g",,fatsecret-40669,15,158.0,0.0,8.48,2023-09-29 01:14:33.797,2023-09-19 23:39:56.207,1.985,0.18,4.83,0.16666667,Molho Caesar para Saladas,0.19,,0.30769232,78.0,colher de sopa,,xoyixJvqZs,g,1.292,,com.sec.android.app.shealth,0.46,0.18936342,1b01fd2b-74b6-4710-893d-9806d6b5a50d,1,
138.0,2.7777777,7.111111,0.0,38.0,"3790 kcal, por 1582g",,fatsecret-9115641,80,85.0,0.7,9.09,2023-10-06 16:19:16.986,2020-12-31 12:19:01.124,3.758,8.08,0.59,4.888889,Panqueca de Carne Moída,1.25,,3.9230769,192.0,unidade,,xoyixJvqZs,g,3.464,0.386,com.sec.android.app.shealth,18.66,0.41666666,befee8ee-1fda-4e8f-8634-a389abcef372,1,
,0.0,0.0,0.0,17.0,"63 kcal, por 1 1/2 fatias (30g)",,fatsecret-4593206,30,300.0,0.0,2.8,2023-08-15 13:12:27.688,2023-08-14 20:01:48.316,0.8,8.5,0.0,0.0,Queijo Prato Lanche Light(Santa Clara),,,0.0,63.0,porção,,xoyixJvqZs,g,1.8,0.0,com.sec.android.app.shealth,1.1,0.47619048,60bfe164-96f0-443c-85b2-4245083fe1a2,1,
128.0,0.0,0.0,0.0,0.0,"40 kcal, por 100g",,fatsecret-44175164,100,67.0,0.8,0.0,2023-03-30 21:17:13.576,2023-03-30 21:15:27.618,0.0,3.5,0.0,0.0,Activia Zero Morango(Activia),,,0.0,40.0,porção,,yfgkJHa6g4,g,0.0,0.0,com.sec.android.app.shealth,6.4,2.5,3eb6be1f-dc0e-41fd-a526-c1a71c3e8e65,1,
,0.0,0.0,0.0,0.0,"105 kcal, por 2 colheres de sopa (30g)",,fatsecret-51373021,30,0.0,2.5,2.0,2023-10-06 12:28:59.416,2023-03-30 21:04:01.541,0.6,4.0,0.8,0.0,Aveia em Flocos Finos(Tutti Giorni),,,0.0,105.0,porção,,xoyixJvqZs,g,0.5,0.0,com.sec.android.app.shealth,18.0,0.2857143,853f3365-cf2f-4b8e-af88-23aa401f1e0e,1,
,0.0,0.0,0.0,,"134 kcal, por 04 quadradinhos (25g)",,fatsecret-67504490,25,32.0,0.6,7.8,2023-09-16 03:23:13.830,2023-09-16 03:23:13.830,,2.0,,0.0,Crunch(Nestlé),12.0,,0.0,134.0,porção,,xoyixJvqZs,g,4.6,0.0,com.sec.android.app.shealth,14.0,0.18656716,5e46a43a-3526-4416-b4d5-22d3e9462332,1,
,0.0,0.0,0.0,114.0,"277 kcal, por 1 filé (200g)",,fatsecret-5709735,200,775.0,0.0,8.3,2023-10-05 16:38:11.572,2023-10-05 16:38:11.572,,39.0,,0.0,Filé de Peixe(Montana),,,0.0,277.0,porção,,xoyixJvqZs,g,1.5,0.0,com.sec.android.app.shealth,11.0,0.72202164,f90abb6f-15ca-4495-adbe-848e8e755074,1,
,0.0,0.0,0.0,,"184 kcal, por 1 unidade (70g)",,fatsecret-3503936,70,162.0,1.5,7.9,2023-09-02 20:57:18.437,2023-09-02 20:57:18.437,,9.7,,0.0,Esfiha de Queijo(Habib's),,,0.0,184.0,porção,,xoyixJvqZs,g,3.0,,com.sec.android.app.shealth,18.0,0.38043478,2d48ec35-813b-467a-8faf-de1dce4ea077,1,
55.0,0.0,0.0,0.0,0.0,"130 kcal, por 100g",,fatsecret-39719,158,2.0,0.6,0.44,2023-09-23 16:43:59.233,2023-09-23 16:43:59.233,0.139,4.25,0.12,10.555555,"Arroz Branco (Longo, Cozido)",0.08,,1.2307693,205.0,xícara,,xoyixJvqZs,g,0.122,,com.sec.android.app.shealth,44.51,0.7707317,990d9d3e-1cb5-4778-b9c6-109b2d5ec5c7,1,
,0.0,0.0,0.0,0.0,"75 kcal, por 1 copo (200ml)",,fatsecret-2712754,200,47.0,,0.0,2023-10-06 16:28:27.828,2023-03-30 21:13:26.469,0.0,2.0,0.0,0.0,Suco de Laranja(Naturale),,,0.0,75.0,porção,,xoyixJvqZs,ml,0.0,0.0,com.sec.android.app.shealth,12.0,,ec476570-acd4-4e35-a7b4-eed61b3d154a,1,
9.0,0.33333334,0.11111111,0.0,10.0,"145 kcal, por 101g",,fatsecret-2178,5,31.0,0.0,0.12,2023-09-04 16:27:24.197,2020-12-30 00:42:32.032,0.017,1.38,0.045,0.8333334,Camarão,0.0,,0.23076923,7.0,médio (sem casca),,xoyixJvqZs,g,0.022,,com.sec.android.app.shealth,0.06,0.696,295fbddc-2fec-4c51-80bc-3db068bb2d77,1,
340.0,0.0,0.0,0.0,33.0,"141 kcal, por 100g",,fatsecret-40484,100,55.0,0.0,5.47,2023-09-05 22:41:48.938,2023-09-03 00:12:39.382,1.951,21.57,0.193,8.722222,"Carne de Vaca da Fraldinha (Magra, Cortada até 0 cm de Gordura)",0.0,,1.8461539,141.0,g,,xoyixJvqZs,g,2.058,,com.sec.android.app.shealth,0.0,0.709434,d1640d93-e044-43ec-9b83-b89c270771b2,100,
442.0,0.33333334,7.4444447,0.0,0.0,"43 kcal, por 100g",,fatsecret-36283,136,106.0,3.8,0.23,2023-09-22 16:08:35.907,2018-09-14 19:55:07.335,0.045,2.19,0.083,6.0555553,Beterrabas,9.19,,1.6923077,58.0,xícara,,xoyixJvqZs,g,0.037,,com.sec.android.app.shealth,13.0,2.3448277,03ec9c27-965c-481c-ba3a-3e814cb7e6b6,1,
