com.samsung.health.food_info,6233003,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
282.0,30.0,104.0,,0.0,"55 kcal, por 157g",,fatsecret-6009,97,270.0,3.2,0.4,2018-09-08 16:35:48.961,2018-09-08 16:35:48.961,0.039,2.3,0.164,4.0,Brócolis Cozidos (Cozinhado sem Gordura Adicionada),1.34,,4.0,34.0,"xícara, ramos",,zjIwstRrv1,g,0.077,,com.sec.android.app.shealth,6.93,2.875,6a5c2ebc-c523-4b09-a746-4e93acb546e9,1,
203.0,6.111111,3.2222223,0.0,64.0,"2568 kcal, por 1038g",,fatsecret-18095436,120,812.0,1.9,13.68,2023-09-22 16:14:05.884,2018-09-16 01:47:32.400,6.389,11.45,1.244,16.5,Pizza de Calabresa,2.41,,25.692308,297.0,fatia,,xoyixJvqZs,g,5.014,,com.sec.android.app.shealth,31.77,0.40402478,469a3519-016d-48c2-91b8-a9a8755e404b,1,
91.0,11.555555,0.22222222,0.0,72.0,"3651 kcal, por 1055g",,fatsecret-3538,77,286.0,1.1,10.15,2023-09-28 00:48:42.185,2018-09-19 11:24:59.757,4.314,7.5,2.727,12.166667,Brioche,6.38,,2.1538463,266.0,unidade,,xoyixJvqZs,g,2.211,,com.sec.android.app.shealth,35.78,0.28947368,4dabffc7-8b63-453b-9156-542b5f57c425,1,
,,,,,"205 kcal, por 100g",,fatsecret-17271603,100,85.0,0.0,13.0,2018-09-17 01:55:17.442,2018-09-17 01:55:17.442,,22.0,,,Carne Moída(Swift),,,,205.0,porção,,zjIwstRrv1,g,6.5,0.1,com.sec.android.app.shealth,0.0,0.4878049,a5a421c8-2289-4be8-abc0-49a96e34e89b,1,
422.0,0.44444445,11.444445,0.0,0.0,"89 kcal, por 100g",,fatsecret-5388,118,1.0,3.1,0.39,2023-09-07 23:13:11.110,2018-09-07 19:39:26.423,0.038,1.29,0.086,1.7222222,Banana,14.43,,0.46153846,105.0,média (18 cm - 20 cm de comprimento),,xoyixJvqZs,g,0.132,,com.sec.android.app.shealth,26.95,1.1222222,c5936c0c-8c30-4a54-a98e-7588ea3f8fc0,1,
63.0,0.0,0.0,,0.0,,,fatsecret-5238847,177,6.0,0.0,0.02,2018-09-08 15:21:01.543,2018-09-08 15:21:01.543,0.003,0.34,0.003,0.0,Café com Leite Desnatado,0.2,,1.0,5.0,xícara de café (180 ml),,zjIwstRrv1,g,0.008,,com.sec.android.app.shealth,0.85,35.4,f5ace4d0-888d-4185-aa2d-21a439a82fd9,1,
,,,,,"56 kcal, por 2 colheres de sopa (40g)",,fatsecret-4432951,40,142.0,,4.6,2018-09-17 01:55:17.443,2018-09-17 01:55:17.443,,1.1,,,Molho Branco(Elegê),,,,56.0,porção,,zjIwstRrv1,g,,,com.sec.android.app.shealth,2.5,0.71428573,3e3b53de-6b83-4418-a3dc-e5f4f9ee7d4d,1,
367.0,0.0,0.0,0.0,62.0,"169 kcal, por 100g",,fatsecret-37305,100,54.0,0.0,8.85,2023-09-04 00:36:15.103,2018-09-14 19:55:07.332,3.53,20.78,0.42,15.388889,"Carne de Vaca do Filé Mignon (Magra, Cortada até 0 cm de Gordura)",,,0.46153846,169.0,g,,xoyixJvqZs,g,3.54,,com.sec.android.app.shealth,0.0,0.590625,659f4f44-87cf-4223-b2e7-c41d5a9bb994,100,
,,,,0.0,"79 kcal, por 5 unidades (50g)",,fatsecret-10430041,50,309.0,0.5,5.6,2020-12-30 17:10:53.934,2018-09-14 19:55:07.336,,6.6,,,Ovos de Codorna em Conserva(Coblens),,,,79.0,porção,,yfgkJHa6g4,g,1.8,0.2,com.sec.android.app.shealth,0.5,0.6329114,f2908e13-99b8-404c-81ab-73a06950af22,1,
,,,,,"350 kcal, por 15cm (236g)",,fatsecret-11655254,236,767.0,5.9,12.1,2018-09-09 01:55:14.010,2018-09-09 01:55:14.010,,20.6,,,Frango Com Requeijão(Subway),,,,350.0,porção,,zjIwstRrv1,g,4.1,0.0,com.sec.android.app.shealth,41.4,0.6742857,0a80c97e-8d65-4414-86c5-e6da518a3a94,1,
