com.samsung.shealth.activity.day_summary,6233003,3
step_count,active_time,target,others_time,update_time,create_time,goal,longest_active_time,score,distance,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
1716,1068637,,0,2018-01-03 01:26:47.114,2018-01-02 02:00:00.469,-1,120000,0,1433.4801,74.66,94092205-088b-4b55-89bb-0207f1c3f8b9.extra_data.json,n2OTyB17mi,29813,com.sec.android.app.shealth,1038824,32640000,94092205-088b-4b55-89bb-0207f1c3f8b9,1514851200000,
1493,967529,,0,2016-06-16 21:19:52.410,2016-06-16 21:19:52.410,-1,48691,0,1122.0132,56.140007,be36929c-7468-49b2-978d-27314a135261.extra_data.json,f1/7zwjou1,42400,com.sec.android.app.shealth,925129,33300000,be36929c-7468-49b2-978d-27314a135261,1464480000000,
3468,2017544,,0,2017-09-21 02:14:21.649,2017-09-20 03:01:09.196,-1,240000,0,3159.0605,178.71,a05163ec-3bcb-4006-898f-fcef0153f86b.extra_data.json,n2OTyB17mi,269120,com.sec.android.app.shealth,1748424,15480000,a05163ec-3bcb-4006-898f-fcef0153f86b,1505865600000,
7164,4646959,,0,2016-09-11 14:35:51.264,2016-09-10 03:00:36.219,-1,120000,0,4797.721,233.65994,b292d388-dda3-48eb-85c9-a8b7ccf99cb5.extra_data.json,f1/7zwjou1,113600,com.sec.android.app.shealth,4533359,28380000,b292d388-dda3-48eb-85c9-a8b7ccf99cb5,1473465600000,
4469,2841670,,0,2017-03-08 01:31:33.850,2017-03-07 03:00:01.567,-1,60000,0,3910.9114,212.85,4d3fc7c3-8061-4095-a9e8-5ec48354acfa.extra_data.json,n2OTyB17mi,183737,com.sec.android.app.shealth,2657933,34020000,4d3fc7c3-8061-4095-a9e8-5ec48354acfa,1488844800000,
11954,7350667,,0,2016-08-14 01:16:49.034,2016-08-13 03:00:36.743,-1,2040000,0,8259.919,394.64053,8dac4fb0-0873-4b73-a37d-cda3dcc07a28.extra_data.json,f1/7zwjou1,103507,com.sec.android.app.shealth,7247160,24420000,8dac4fb0-0873-4b73-a37d-cda3dcc07a28,1471046400000,
0,0,,0,2017-01-09 20:08:05.052,2017-01-09 20:08:05.052,-1,0,0,0.0,0.0,e3a1e084-cdfc-4530-b06c-5c73cd24db41.extra_data.json,n2OTyB17mi,0,com.sec.android.app.shealth,0,-1,e3a1e084-cdfc-4530-b06c-5c73cd24db41,1483747200000,
11062,6701316,,0,2017-01-14 03:34:37.857,2017-01-13 02:00:02.028,-1,831783,0,8848.04,372.8552,e4a805e3-bf8f-4270-9513-83c8a895e1c5.extra_data.json,n2OTyB17mi,112236,com.sec.android.app.shealth,6589080,29940000,e4a805e3-bf8f-4270-9513-83c8a895e1c5,1484265600000,
15588,10014772,,0,2016-07-16 02:55:21.249,2016-07-15 03:00:23.630,60,540000,276,10246.376,498.53,67101449-bd40-4b31-bc0d-ac9c3905b34d.extra_data.json,f1/7zwjou1,89332,com.sec.android.app.shealth,9925440,23400000,67101449-bd40-4b31-bc0d-ac9c3905b34d,1468540800000,
9579,5722430,,0,2017-07-21 03:01:16.821,2017-07-20 03:00:01.620,-1,240000,0,8328.489,443.05978,5b56645c-0b0f-444c-9a04-b194817d498a.extra_data.json,n2OTyB17mi,463224,com.sec.android.app.shealth,5259206,22920000,5b56645c-0b0f-444c-9a04-b194817d498a,1500508800000,
6081,3672018,,0,2017-02-27 01:54:47.028,2017-02-26 03:00:02.227,-1,1408024,0,5842.643,323.6976,d6cff97d-bcda-498b-a6ce-35ec4e2352a0.extra_data.json,n2OTyB17mi,268150,com.sec.android.app.shealth,3403868,35520000,d6cff97d-bcda-498b-a6ce-35ec4e2352a0,1488067200000,
