com.samsung.health.height,6233003,4
start_time,custom,height,update_time,create_time,time_offset,deviceuuid,pkg_name,datauuid
2023-04-14 10:36:30.023,,176.0,2023-04-14 10:36:30.043,2023-04-14 10:36:30.043,UTC-0300,dFCfDPMS7d,com.sec.android.app.shealth,93569a96-ea71-4728-8973-fb0437f62b20,
2022-12-08 16:11:12.465,,176.0,2022-12-08 16:11:12.513,2022-12-08 16:11:12.513,UTC-0300,2l9vD+Aay/,com.sec.android.app.shealth,773fa22d-2cae-41ed-bf33-72ef1d979435,
2020-11-30 21:49:16.797,,175.0,2020-11-30 21:49:16.797,2020-11-30 21:49:16.800,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,0cd0cf34-04de-473e-afff-51b16a647536,
2017-05-28 20:15:46.209,,174.0,2017-10-29 23:04:44.234,2017-10-29 23:04:44.234,UTC-0200,n2OTyB17mi,com.sec.android.app.shealth,b940f6b0-c309-41d3-bc2b-593357a2b5ad,
