com.samsung.shealth.best_records,6233003,2
source_id,device_type,update_time,create_time,source_pkg_name,date,type,value,is_shown,extra_type,deviceuuid,pkg_name,controller_id,datauuid
fa2cc59d-2644-ed95-cda3-7a9b021c070d,-1,2023-10-06 20:51:47.514,2020-12-29 23:18:20.974,,1608477748000,1,7878000.0,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_cycling,d64104f0-1edc-4f4f-9409-565ea5878e68,
6f8f4680-07d1-109b-7fc4-3e854d2a9cc1,-1,2023-10-06 20:51:47.443,2021-01-29 05:57:08.081,,1611043165000,1,1.2147E7,,11007,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_others,4bff043c-84da-46d0-a2d3-c8645158d951,
fd5c58fd-95b0-4f07-a128-730b760f8db3,-1,2023-10-06 20:51:47.520,2021-08-16 21:20:42.870,,1618854546000,4,13.265267,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_cycling,875b4e86-5db2-4016-80a6-4a7767b617b5,
,-1,2022-12-15 16:36:17.762,2022-12-15 16:36:17.762,,1670976000000,6,14.0,,-1,yfgkJHa6g4,com.sec.android.app.shealth,tracker.floor,478560a3-d07b-4683-b434-177976e201aa,
ac2ce73f-9ed0-4558-9260-2751fb38ff87,-1,2023-10-06 20:51:47.461,2023-02-12 10:49:17.542,,1676170240849,1,1.7888918E7,,15002,yfgkJHa6g4,com.sec.android.app.shealth,tracker.sport_others,bf359d80-8224-4c3b-90b6-466dc237cebf,
69e3b985-ffb0-4bdd-b443-5fd77cdfc82e,-1,2023-10-06 20:51:47.429,2023-04-30 15:29:38.328,,1682853404280,4,17.046,,-1,xoyixJvqZs,com.sec.android.app.shealth,tracker.sport_cycling,a1c9241c-0ce6-4b26-949a-8c3a5982bb90,
,-100003,2016-06-16 21:19:47.386,2016-06-16 21:19:46.870,,1419465600000,0,603.0,,-1,f1/7zwjou1,com.sec.android.app.shealth,tracker.pedometer,67bc174d-3b5a-430b-9747-cdff6e6a8475,
,-100003,2016-06-16 21:19:47.462,2016-06-16 21:19:47.462,,1419638400000,0,1251.0,,-1,f1/7zwjou1,com.sec.android.app.shealth,tracker.pedometer,bc48cd42-8907-4248-890a-b4882547fcb3,
,-100003,2016-06-16 21:19:48.070,2016-06-16 21:19:48.070,,1426896000000,0,15391.0,,-1,f1/7zwjou1,com.sec.android.app.shealth,tracker.pedometer,fa6d7099-005a-4625-b342-4ba4e776902e,
5e18dde1-2c36-4476-bd11-471869a0f4b1,-1,2023-10-06 20:51:47.425,2018-09-07 19:50:37.237,,1536335700000,3,19500.0,,-1,zjIwstRrv1,com.sec.android.app.shealth,tracker.sport_cycling,516fa05e-d41d-49bd-bc0b-498ee1a12b9c,
