com.samsung.health.food_intake,6233003,4
start_time,amount,custom,update_time,create_time,meal_type,name,unit,calorie,time_offset,deviceuuid,comment,pkg_name,datauuid,food_info_id
2018-09-07 11:00:00.000,1.6,,2018-09-07 19:44:00.099,2018-09-07 19:44:00.099,100001,Maçã,120001,115.2,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,d85f1517-07b0-4a12-9013-11db3c9535a2,626b0886-d9bc-49df-b0a9-d40dee479cd9,
2018-09-21 16:00:00.000,115.0,,2018-09-22 12:47:19.937,2018-09-22 12:47:19.937,100002,Bife de Carne de Vaca,120002,289.8,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,48ecf5db-af32-4928-b507-58183fa124af,a085a43c-4834-41aa-bd67-875e6948f84b,
2018-09-14 22:30:00.000,5.0,,2018-09-15 13:32:18.335,2018-09-15 13:32:18.335,100003,Cerveja(Corona),120001,740.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,b5089ce1-da21-41f6-af50-f45bfd1f9f95,46d59d29-27fb-4094-8a6b-cc223137a9c7,
2018-09-12 17:26:12.370,120.0,,2018-09-12 17:28:21.461,2018-09-12 17:28:21.461,100002,"Carne de Porco do Lombo (Inteiro, Magro)",120002,171.59999,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,f9f75436-84d3-4797-83d8-ce8e1278e1d5,af1ac178-841b-4207-8777-badea949cfdc,
2018-09-19 00:31:00.000,240.0,,2018-09-19 11:24:59.807,2018-09-19 11:24:59.807,100003,Brioche,120002,829.09094,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,9bf607ea-ebb9-46e6-a8fd-c34e0240131b,4dabffc7-8b63-453b-9156-542b5f57c425,
2018-10-24 17:00:00.000,,,2018-10-24 17:01:09.719,2018-10-24 17:01:09.719,100002,,,1092.0,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,acb8d57f-a62e-4429-b305-4bc0106ee72e,meal_auto_filled,
2019-01-06 11:00:00.000,1.0,,2019-01-06 11:01:26.407,2019-01-06 11:01:26.407,100001,,-1,1090.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,3e1a4ea0-979c-4a39-a012-5c8947b8d700,meal_auto_filled,
2019-01-05 11:00:00.000,1.0,,2019-01-05 11:01:28.259,2019-01-05 11:01:28.259,100001,,-1,1090.0,UTC-0200,zjIwstRrv1,,com.sec.android.app.shealth,3906efe4-1671-48bf-8acc-6678ae647e88,meal_auto_filled,
2018-09-16 00:12:00.000,1.9,,2018-09-16 01:47:32.443,2018-09-16 01:47:32.443,100003,Pizza de Calabresa,120001,564.3,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,6835428a-8c80-476e-9b31-3a865b853275,469a3519-016d-48c2-91b8-a9a8755e404b,
2018-09-14 16:45:00.000,40.0,,2018-09-14 19:55:07.403,2018-09-14 19:55:07.403,100002,Cenouras,120002,16.4,UTC-0300,zjIwstRrv1,,com.sec.android.app.shealth,5a2e66d2-18e3-4867-ac96-a773b3d1805c,7cd741dc-2c98-4513-a7cf-5a81b0b32754,
