com.samsung.shealth.exercise.weather,6233003,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
,0,2019-04-05 23:07:34.065,-29.76232,,S. 180,Pancada de chuva,0,1,TWC,2019-04-05 23:07:34.075,2019-04-05 23:07:34.075,1,-51.1376,19.0,86,UTC-0300,zjIwstRrv1,86d81db0-c5be-4982-95db-225c32cc7d88,com.sec.android.app.shealth,km/h,0,8.0,5,87f4c27d-9bff-4583-87eb-d0441d57139a,
0.0,0,2017-01-16 22:55:07.196,-27.70324,,ENE. 68.0,Pouco nublado,0,0,AccuWeather,2017-01-16 22:55:07.202,2017-01-16 22:55:07.202,1,-48.50108,82.0,78,UTC-0200,n2OTyB17mi,4d212a54-ca27-4d2a-87e1-5f19482c88af,com.sec.android.app.shealth,mi/h,0,10.4,11,f38ae7ca-daed-4ea8-a4e8-2de85be35748,
,0,2019-08-12 17:06:34.216,-30.03008,,OSO. 240,Chuva fraca,0,1,TWC,2019-08-12 17:06:34.218,2019-08-12 17:06:34.218,1,-51.210674,18.0,92,UTC-0300,zjIwstRrv1,b4da8c7a-a58e-4120-9b1d-0fe361d47263,com.sec.android.app.shealth,km/h,0,8.0,5,d327c0da-56c3-416a-9dfd-0322eed26c6a,
,0,2019-08-15 16:06:31.259,-30.072721,,ESE. 110,Limpo,0,1,TWC,2019-08-15 16:06:31.262,2019-08-15 16:06:31.262,1,-51.121048,18.0,53,UTC-0300,zjIwstRrv1,d01472c4-cd03-4a32-bf7b-be1d971f963e,com.sec.android.app.shealth,km/h,0,8.0,1,ad265531-a4ef-4b8e-8a41-a3026c33b604,
,0,2018-04-25 16:27:29.268,-30.067127,,O. 280,Limpo,0,1,TWC,2018-04-25 16:27:29.276,2018-04-25 16:27:29.276,1,-51.120594,28.0,63,UTC-0300,n2OTyB17mi,6cfd093e-f7f9-4339-997a-6843a0b40d73,com.sec.android.app.shealth,km/h,0,5.0,1,f0da8daf-e228-4cfe-9ae8-e1edf07998b2,
,0,2018-11-20 14:25:45.534,-30.067144,,ESE. 120,Limpo,0,1,TWC,2018-11-20 14:25:45.537,2018-11-20 14:25:45.537,1,-51.1205,24.0,52,UTC-0200,zjIwstRrv1,eea5f5d0-901e-4fa9-86f8-ed26f70acdd2,com.sec.android.app.shealth,km/h,0,8.0,1,3b9054a6-1cf9-4ac9-bcea-b8c5792f6815,
,0,2018-10-29 21:52:49.081,-30.033194,,ESE. 110,Limpo,0,1,TWC,2018-10-29 21:52:49.095,2018-10-29 21:52:49.095,1,-51.210842,22.0,64,UTC-0300,zjIwstRrv1,c767c394-ab42-4e57-867f-1328c55b29d2,com.sec.android.app.shealth,km/h,0,31.0,1,21a88c90-b324-4d2b-b73d-430f6f128371,
,0,2018-10-16 17:02:38.968,-30.072336,,E. 100,Limpo,0,1,TWC,2018-10-16 17:02:38.972,2018-10-16 17:02:38.972,1,-51.12036,28.0,51,UTC-0300,zjIwstRrv1,e150664f-eeec-4bbd-b428-e255fb8da58f,com.sec.android.app.shealth,km/h,0,11.0,1,fc167407-9079-43e5-aec5-d66e691c3963,
,0,2019-08-22 16:56:22.340,-30.071331,,E. 90,Parcial. nublado,0,1,TWC,2019-08-22 16:56:22.344,2019-08-22 16:56:22.344,1,-51.120014,18.0,50,UTC-0300,zjIwstRrv1,48556082-74e5-4ec9-b160-510cbf4b9693,com.sec.android.app.shealth,km/h,0,23.0,2,7ac769de-0c90-4e24-a556-19b7c8e1373e,
,0,2019-08-27 15:29:37.116,-30.067148,,O. 270,Limpo,0,1,TWC,2019-08-27 15:29:37.120,2019-08-27 15:29:37.120,1,-51.12066,23.0,57,UTC-0300,zjIwstRrv1,dcffeb33-ecc7-4825-b32b-655e55694168,com.sec.android.app.shealth,km/h,0,10.0,1,af233c54-247f-4283-9004-3cc39a7aa1b5,
,0,2018-11-23 10:19:32.275,-30.040096,,ENE. 70,Limpo,0,1,TWC,2018-11-23 10:19:32.278,2018-11-23 10:19:32.278,1,-51.20774,23.0,81,UTC-0200,zjIwstRrv1,83051cae-8791-4b7d-85fc-250a72b13543,com.sec.android.app.shealth,km/h,0,10.0,1,82ab490c-7876-43a0-b13d-cedba2828097,
,0,2017-11-11 21:08:12.839,-30.050138,,OSO. 248.0,Parcialmente soalheiro,0,0,AccuWeather,2017-11-11 21:08:12.843,2017-11-11 21:08:12.843,1,-51.228294,82.0,30,UTC-0200,n2OTyB17mi,45496fe4-df60-4a89-841b-08fe93d18fe0,com.sec.android.app.shealth,mi/h,0,10.1,4,6b7855ae-ad96-41d6-8974-bf077b82e3e0,
