com.samsung.shealth.program.sleep_coaching.mission,6233003,2
answer,priority,update_time,create_time,data_version,day_index,mission_id,deviceuuid,pkg_name,is_key_habit,session_id,datauuid,is_done
null,,2023-01-27 19:28:00.266,2023-01-27 19:28:00.266,1,14,SP_MSN_04,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,e294c574-3f76-433d-ba78-98edf1937deb,0,
null,,2023-01-27 19:28:00.266,2023-01-27 19:28:00.266,1,16,SP_MSN_04,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,72b6e783-a789-487c-9e10-52333d46fa4f,0,
null,,2023-01-27 19:28:00.267,2023-01-27 19:28:00.267,1,18,SP_MSN_01,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,4b0efe3d-340e-49fb-b0be-4a36c692d04b,0,
null,,2023-01-27 19:28:00.267,2023-01-27 19:28:00.267,1,19,SP_MSN_18,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,c804983d-f884-45b1-a4a1-c509ab481a15,0,
null,,2023-01-27 19:28:00.268,2023-01-27 19:28:00.268,1,21,SP_MSN_11,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,38507455-6bd3-47ce-b5af-b4c1c6940491,0,
null,,2023-01-27 19:28:00.268,2023-01-27 19:28:00.268,1,22,SP_MSN_14,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,2e46cef2-81c4-430f-9a97-64d9f2c4fb0f,0,
null,,2023-01-27 19:28:00.269,2023-01-27 19:28:00.269,1,24,SP_MSN_01,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,319b6818-ed3a-4f0f-abfc-3c04de55a28d,0,
null,,2023-01-27 19:28:00.269,2023-01-27 19:28:00.269,1,25,SP_MSN_13,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,891578d0-f7ec-4ae6-a54a-45aa676a8350,0,
null,,2023-01-27 19:28:00.270,2023-01-27 19:28:00.270,1,26,SP_MSN_14,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,018d5002-15a3-4ae0-81b3-9074fc8093ed,0,
null,,2023-01-29 02:12:54.090,2023-01-27 19:28:00.262,1,1,SP_MSN_03,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,fec0ce92-98e7-4c20-a53d-5f40f8d39252,1,
null,,2023-01-27 19:28:00.262,2023-01-27 19:28:00.262,1,6,SP_MSN_17,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,19c08ae3-e83e-4771-92c0-97319d48560b,0,
null,,2023-01-27 19:28:00.263,2023-01-27 19:28:00.263,1,7,SP_MSN_18,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,99006b59-386c-44ef-92f9-e4c8122ed83b,0,
null,,2023-01-27 19:28:00.264,2023-01-27 19:28:00.264,1,9,SP_MSN_12,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,968e4aff-24d7-4b86-94b9-a1bf1ad1a317,0,
null,,2023-01-27 19:28:00.264,2023-01-27 19:28:00.264,1,10,SP_MSN_14,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,c46ecabe-b860-40a8-8094-d99327aaae39,0,
null,,2023-01-27 19:28:00.265,2023-01-27 19:28:00.265,1,12,SP_MSN_01,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,44efdbab-37ed-4518-8fb8-d5485c39ad11,0,
null,,2023-01-27 19:28:00.265,2023-01-27 19:28:00.265,1,13,SP_MSN_13,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,de7ef3c9-6c2e-48d4-a854-51f8d82ba560,0,
null,,2023-01-27 19:28:00.266,2023-01-27 19:28:00.266,1,14,SP_MSN_05,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,a0b41605-f8c6-476f-b5d2-d3e30e165b79,0,
null,,2023-01-27 19:28:00.266,2023-01-27 19:28:00.266,1,16,SP_MSN_05,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,2432dbee-032b-409c-84f3-85b23b7d1117,0,
null,,2023-01-27 19:28:00.267,2023-01-27 19:28:00.267,1,18,SP_MSN_04,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,9d604deb-3d19-4de8-84ae-4625f9ca520a,0,
null,,2023-01-27 19:28:00.267,2023-01-27 19:28:00.267,1,20,SP_MSN_01,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,74a98167-83e7-4ef4-897c-db3ead18d824,0,
null,,2023-01-27 19:28:00.268,2023-01-27 19:28:00.268,1,21,SP_MSN_13,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,4b22a93d-77d3-4f67-a31d-752f5373c9ab,0,
null,,2023-01-27 19:28:00.268,2023-01-27 19:28:00.268,1,22,SP_MSN_18,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,e449f7c4-bb36-4f3f-af6e-871c0fe9a104,0,
null,,2023-01-27 19:28:00.269,2023-01-27 19:28:00.269,1,24,SP_MSN_11,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,c2628381-5291-4ff2-8d45-de7358a1ee09,0,
null,,2023-01-27 19:28:00.269,2023-01-27 19:28:00.269,1,25,SP_MSN_14,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,a794b7a7-69f5-4b65-b5f7-1c1c767955d8,0,
null,,2023-01-27 19:28:00.270,2023-01-27 19:28:00.270,1,27,SP_MSN_01,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,fa0d3930-69e2-4d8f-b1da-01355529cd60,0,
null,,2023-01-29 02:13:01.561,2023-01-27 19:28:00.262,1,1,SP_MSN_20,yfgkJHa6g4,com.sec.android.app.shealth,,00e6813f-a32d-48e1-8a1b-c07b61b65eb3,c491dbbf-b3f3-438e-971b-9f2e0e8004b1,1,
