com.samsung.shealth.report,6233003,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/Sao_Paulo,1495335600000,2017-05-28 17:30:05.463,2017-05-28 17:30:02.295,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,7b564152-ca22-497e-88f4-4f3a67a5c0f0,7b564152-ca22-497e-88f4-4f3a67a5c0f0.compressed_content.json,
America/Sao_Paulo,1558839600000,2019-06-08 17:29:47.036,2019-06-02 17:30:05.662,0,0,2,zjIwstRrv1,X,com.sec.android.app.shealth,b2875d1e-8a2d-4a04-b472-546ccc807030,b2875d1e-8a2d-4a04-b472-546ccc807030.compressed_content.json,
America/Sao_Paulo,1508036400000,2017-10-27 16:29:42.228,2017-10-22 16:29:39.165,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,68b1b0de-29b0-4496-b4c9-1e4aaa8e5c4c,68b1b0de-29b0-4496-b4c9-1e4aaa8e5c4c.compressed_content.json,
America/Sao_Paulo,1534647600000,2018-08-27 17:29:43.605,2018-08-26 17:29:31.219,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,1fcd547b-3798-4a7f-b97a-4a76bedf5891,1fcd547b-3798-4a7f-b97a-4a76bedf5891.compressed_content.json,
America/Sao_Paulo,1490497200000,2017-04-03 17:31:02.107,2017-04-03 17:31:00.389,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,e21aa5d2-b270-48f5-bf80-40f6152c6cb2,e21aa5d2-b270-48f5-bf80-40f6152c6cb2.compressed_content.json,
America/Sao_Paulo,1547344800000,2019-01-25 16:29:48.051,2019-01-20 16:29:50.602,0,0,2,zjIwstRrv1,X,com.sec.android.app.shealth,5b276b83-2836-42dd-9fe3-ae56d1a18278,5b276b83-2836-42dd-9fe3-ae56d1a18278.compressed_content.json,
America/Sao_Paulo,1532833200000,2018-08-06 17:29:39.221,2018-08-05 17:29:34.695,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,53a64739-8882-407e-a75c-c780cb8735b2,53a64739-8882-407e-a75c-c780cb8735b2.compressed_content.json,
America/Sao_Paulo,1517104800000,2018-02-06 16:30:49.453,2018-02-04 16:30:11.948,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,0d302b04-79ab-4376-b5aa-8696f661df4e,0d302b04-79ab-4376-b5aa-8696f661df4e.compressed_content.json,
America/Sao_Paulo,1550977200000,2019-03-09 17:29:41.390,2019-03-03 17:30:48.799,0,0,2,zjIwstRrv1,X,com.sec.android.app.shealth,37792bbf-483a-420b-aa3f-879e5875c56f,37792bbf-483a-420b-aa3f-879e5875c56f.compressed_content.json,
America/Sao_Paulo,1526180400000,2018-05-20 17:30:58.834,2018-05-20 17:29:38.366,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,b0cbe608-0ae2-42b3-8b63-8d15fdab99b0,b0cbe608-0ae2-42b3-8b63-8d15fdab99b0.compressed_content.json,
America/Sao_Paulo,1531623600000,2018-07-24 17:30:21.059,2018-07-22 17:29:40.654,0,0,1,n2OTyB17mi,X,com.sec.android.app.shealth,c1ce328c-4d67-4dd2-90c6-6e41dbf5aae9,c1ce328c-4d67-4dd2-90c6-6e41dbf5aae9.compressed_content.json,
America/Sao_Paulo,1460257200000,2016-11-18 14:15:13.636,2016-04-17 17:00:00.466,0,1,1,f1/7zwjou1,X,com.sec.android.app.shealth,47e3bc1e-e312-4b95-8403-053aca826284,47e3bc1e-e312-4b95-8403-053aca826284.compressed_content.json,
