com.samsung.shealth.step_daily_trend,6233003,6
binning_data,update_time,create_time,source_pkg_name,source_type,count,speed,distance,calorie,deviceuuid,pkg_name,datauuid,day_time
3d48f643-b08d-46ff-9402-982db90b4b2a.binning_data.json,2019-09-26 15:20:51.862,2019-09-26 15:20:51.862,com.sec.android.app.shealth,-2,6550,1.4994667,5159.13,272.65,VfS0qUERdZ,com.sec.android.app.shealth,3d48f643-b08d-46ff-9402-982db90b4b2a,1568419200000,
4fe0756d-9c5e-401a-a448-24323a236197.binning_data.json,2019-09-26 15:21:00.289,2019-09-26 15:21:00.289,com.sec.android.app.shealth,-2,11436,1.5787095,8515.39,503.09995,VfS0qUERdZ,com.sec.android.app.shealth,4fe0756d-9c5e-401a-a448-24323a236197,1567987200000,
8f07415f-4341-431e-9567-d26a59bd3565.binning_data.json,2019-09-26 15:21:07.028,2019-09-26 15:21:07.028,com.sec.android.app.shealth,-2,15831,1.5221951,12059.689,698.75995,VfS0qUERdZ,com.sec.android.app.shealth,8f07415f-4341-431e-9567-d26a59bd3565,1567555200000,
72fd49ab-10d9-4875-bf56-fbe8f45facb8.binning_data.json,2019-09-26 15:21:03.599,2019-09-26 15:21:03.599,com.sec.android.app.shealth,-2,5147,1.4898914,3937.24,216.14,VfS0qUERdZ,com.sec.android.app.shealth,72fd49ab-10d9-4875-bf56-fbe8f45facb8,1567814400000,
c837a3ba-d275-4e25-9387-5e6c70347191.binning_data.json,2019-09-26 15:20:29.557,2019-09-26 15:20:29.557,com.sec.android.app.shealth,-2,1142,1.618569,911.64,49.079998,VfS0qUERdZ,com.sec.android.app.shealth,c837a3ba-d275-4e25-9387-5e6c70347191,1569024000000,
a0693453-eda9-4be6-8799-c44cac5613ae.binning_data.json,2019-09-26 15:20:32.975,2019-09-26 15:20:32.975,com.sec.android.app.shealth,-2,3578,1.592065,2836.26,149.56999,VfS0qUERdZ,com.sec.android.app.shealth,a0693453-eda9-4be6-8799-c44cac5613ae,1568937600000,
68304de1-7a33-4738-8fdd-5ad776df167b.binning_data.json,2019-09-26 15:20:42.144,2019-09-26 15:20:42.144,com.sec.android.app.shealth,-2,3927,1.6035951,2995.94,181.29,VfS0qUERdZ,com.sec.android.app.shealth,68304de1-7a33-4738-8fdd-5ad776df167b,1568592000000,
1ef62b19-9ac9-4c8b-8e4e-3762c5249fd4.binning_data.json,2019-09-26 15:21:09.758,2019-09-26 15:21:09.758,com.sec.android.app.shealth,-2,8629,1.4567336,6492.5996,362.40994,VfS0qUERdZ,com.sec.android.app.shealth,1ef62b19-9ac9-4c8b-8e4e-3762c5249fd4,1567468800000,
591c0a28-6002-4727-ab26-370a16120599.binning_data.json,2019-09-30 10:13:37.800,2019-09-29 13:37:54.366,com.sec.android.app.shealth,0,1237,1.9727687,916.88,50.059998,yfgkJHa6g4,com.sec.android.app.shealth,591c0a28-6002-4727-ab26-370a16120599,1569715200000,
3ae74c5d-eddb-4cb7-a533-a0023bd67a60.binning_data.json,2019-09-26 15:20:57.061,2019-09-26 15:20:57.061,com.sec.android.app.shealth,-2,4862,1.4991796,3708.19,207.22998,VfS0qUERdZ,com.sec.android.app.shealth,3ae74c5d-eddb-4cb7-a533-a0023bd67a60,1568073600000,
