com.samsung.shealth.tracker.pedometer_event,6233003,1
start_time,update_time,create_time,type,time_offset,deviceuuid,pkg_name,healthy_step,end_time,datauuid
2022-04-26 21:54:54.000,2022-04-26 22:10:24.000,2022-04-26 22:10:24.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1400,2022-04-26 22:10:24.000,251fc441-f88d-1851-2d1e-18a32d3f05a7,
2020-12-24 13:04:48.121,2020-12-24 13:30:22.625,2020-12-24 13:14:49.630,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,3376,2020-12-24 13:30:18.098,d80ba6c7-619f-492a-81d4-a611eb48dc61,
2022-03-14 20:03:56.000,2022-03-14 20:22:01.000,2022-03-14 20:22:01.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1260,2022-03-14 20:22:01.000,863eb62b-eeba-63cf-1ac7-327bde9e388f,
2020-02-14 15:26:47.217,2020-02-14 15:38:31.094,2020-02-14 15:36:49.145,1,UTC+0000,yfgkJHa6g4,com.sec.android.app.shealth,1134,2020-02-14 15:38:27.557,2264b313-cc8c-472f-bccd-13cd15555390,
2022-11-24 10:54:38.000,2022-11-24 11:10:49.000,2022-11-24 11:10:49.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1415,2022-11-24 11:10:49.000,3a914c7e-b01d-6b16-ed32-3342460f94da,
2020-02-23 10:47:02.730,2020-02-23 10:47:36.648,2020-02-23 10:47:15.824,1,UTC+0000,yfgkJHa6g4,com.sec.android.app.shealth,25,2020-02-23 10:47:32.873,745870b2-fa86-48cd-a966-20f163fa7dcf,
2021-08-12 22:12:15.000,2021-08-12 22:24:34.000,2021-08-12 22:24:34.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1109,2021-08-12 22:24:34.000,94756daf-d519-d033-b412-aeab5401c2f9,
2020-02-12 17:53:40.017,2020-02-12 17:54:02.465,2020-02-12 17:53:52.202,1,UTC+0000,yfgkJHa6g4,com.sec.android.app.shealth,26,2020-02-12 17:54:00.108,35807c19-cc66-4593-b974-ffb44cbfadbf,
2020-01-03 20:58:33.523,2020-01-03 21:12:40.801,2020-01-03 21:08:35.227,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,2069,2020-01-03 21:12:38.536,b57c514b-c104-4c79-b8e3-32639c7c8a0b,
2022-10-26 21:58:44.000,2022-10-26 22:10:53.000,2022-10-26 22:10:53.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,998,2022-10-26 22:10:53.000,54c30118-81f6-5b90-de25-e439c45428d5,
2019-09-22 18:54:16.434,2019-09-22 19:04:33.782,2019-09-22 19:04:18.151,1,UTC-0300,zjIwstRrv1,com.sec.android.app.shealth,1002,2019-09-22 19:04:30.255,cfcfa3e1-e778-44fe-8e54-7a383c197933,
2020-10-30 21:25:08.380,2020-10-30 21:47:55.114,2020-10-30 21:35:11.119,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,2069,2020-10-30 21:47:52.663,39788329-1d82-444d-abe1-bcffe77a8ee1,
2020-02-14 12:00:05.911,2020-02-14 12:00:46.936,2020-02-14 12:00:18.706,1,UTC+0000,yfgkJHa6g4,com.sec.android.app.shealth,43,2020-02-14 12:00:46.020,6db13e92-2c39-4447-bda8-5c9f4c76e78f,
2021-01-08 22:14:33.818,2021-01-08 22:29:46.658,2021-01-08 22:24:35.014,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,1274,2021-01-08 22:29:44.017,bea173f1-76c0-4740-8da5-ba79203e65fa,
2022-07-13 23:09:05.000,2022-07-13 23:20:43.000,2022-07-13 23:20:43.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,974,2022-07-13 23:20:43.000,41c6bb14-ce27-5bb7-6275-5489ae2246fd,
2021-12-22 19:53:40.000,2021-12-22 20:06:43.000,2021-12-22 20:06:43.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1127,2021-12-22 20:06:43.000,a012b07a-cef5-9cb1-4b3d-456fdff50429,
2019-11-22 14:58:58.015,2019-11-22 15:10:40.359,2019-11-22 15:09:00.093,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,1184,2019-11-22 15:10:38.101,4af13214-7d52-4f13-82c2-f0e1a5bf7124,
2022-05-20 23:21:21.000,2022-05-20 23:40:22.000,2022-05-20 23:40:22.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1761,2022-05-20 23:40:22.000,2be441ac-6982-713f-48f9-bc7e3647064b,
2021-10-25 21:31:27.000,2021-10-25 21:43:15.000,2021-10-25 21:43:15.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,992,2021-10-25 21:43:15.000,0c6a8bd9-6f34-9519-00d8-609e8ce64b72,
2019-12-30 20:29:51.389,2019-12-30 20:31:13.418,2019-12-30 20:30:02.805,1,UTC-0300,yfgkJHa6g4,com.sec.android.app.shealth,132,2019-12-30 20:31:11.709,b9ace8ce-eb18-4f4a-80a0-0304aa71167d,
2021-12-23 18:16:07.000,2021-12-23 18:26:54.000,2021-12-23 18:26:54.000,1,UTC-0300,QRbb7eXJAm,com.sec.android.app.shealth,1111,2021-12-23 18:26:54.000,6829450f-abbf-b19d-7b03-27f0ba3feb25,
