com.samsung.shealth.food_frequent,6233003,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.0,2023-10-05 16:30:36.343,2023-04-12 14:22:33.119,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,6272c6ab-e2d8-491b-a420-413b0110243d,fc3c9761-b05b-46f1-a31f-e2d3d8f06a84,2.0,
0.0,2023-04-12 14:22:33.108,2023-04-12 14:22:33.108,0.0,1.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,973e2df0-1e3e-43ff-b257-10b66ebccfc5,347174b3-c7c2-4687-8cfa-ecaabdf45b5c,0.0,
0.0,2023-04-12 14:22:33.119,2023-04-12 14:22:33.119,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,1.0,6159ec8b-3bb7-44e7-8702-3c14e2840113,3eb6be1f-dc0e-41fd-a526-c1a71c3e8e65,0.0,
0.0,2023-08-22 22:39:56.597,2023-04-12 14:22:33.109,0.0,1.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,d3e1a3f5-909a-4635-b3d3-f96b7f5d6c8d,b4472fc8-2b22-40df-9069-be7da3e64041,1.0,
0.0,2023-09-24 00:46:31.508,2023-04-12 14:22:33.119,0.0,2.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,8a0e198c-0f0a-41da-be67-bdb807308ad0,f1351dea-de13-415f-b2ed-b5e220f78ae3,0.0,
0.0,2018-09-11 00:56:27.902,2018-09-11 00:56:27.902,0.0,1.0,0.0,zjIwstRrv1,com.sec.android.app.shealth,0.0,7290027d-0aa8-4a12-8ebc-8c053f8e70ec,c534c8e7-5533-4da4-82a6-254015758d6a,0.0,
0.0,2023-04-12 14:22:33.136,2023-04-12 14:22:33.136,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,44a0ce6b-54b5-4c14-b8d0-8c6ca11b2f8c,f8a73b6c-9f29-4e72-ad72-ad3aa82b9cc3,1.0,
0.0,2023-04-12 14:22:33.119,2023-04-12 14:22:33.119,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,1.0,67b2ed76-324b-4135-aa14-80183690aea9,ce2f922b-d610-48e3-91b1-9e5887bc3f7b,0.0,
0.0,2023-09-08 16:52:45.810,2023-04-12 14:22:33.118,0.0,1.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,0b2856bc-52da-4f16-a49e-50b26ad684d5,a84e37ce-e432-4932-ba54-0b3be2a383ef,1.0,
0.0,2023-04-12 14:22:33.137,2023-04-12 14:22:33.137,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,f544d6d4-6870-43f2-92bf-7bb431954213,1d78f9a7-cb1f-47e4-83d4-b4921ea9e329,1.0,
0.0,2023-09-07 23:13:11.247,2023-04-12 14:22:33.119,1.0,1.0,9.0,xoyixJvqZs,com.sec.android.app.shealth,6.0,fe62aa35-2fd9-40b3-ba2f-f3d0ee61ec3e,c5936c0c-8c30-4a54-a98e-7588ea3f8fc0,0.0,
1.0,2023-09-07 12:33:06.376,2023-04-12 14:22:33.119,0.0,0.0,1.0,xoyixJvqZs,com.sec.android.app.shealth,1.0,bd580967-3a25-4c8e-9e2a-ece08a40784a,0f46eb86-c617-46da-9133-9e1447f0c8a4,0.0,
0.0,2023-04-12 14:22:33.117,2023-04-12 14:22:33.117,0.0,1.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,155558c4-60bf-42d7-b78b-401557149eba,d216a797-5273-4ac2-b521-22e87ec90107,0.0,
0.0,2023-04-12 14:22:33.134,2023-04-12 14:22:33.134,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,d80ce41d-ff88-4506-b007-bdd09dd65647,af1ac178-841b-4207-8777-badea949cfdc,1.0,
0.0,2023-04-12 14:22:33.122,2023-04-12 14:22:33.122,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,b70b91b9-d45d-4bcc-bd19-6a2a27b82375,03ec9c27-965c-481c-ba3a-3e814cb7e6b6,2.0,
0.0,2023-04-12 14:22:33.136,2023-04-12 14:22:33.136,2.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,7ca847d6-0532-4ee2-bc35-0833026cff79,7866a672-8336-482c-8b37-98373311b341,0.0,
0.0,2023-04-12 14:22:33.122,2023-04-12 14:22:33.122,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,acec48b1-1c7e-4292-aaba-a662f9acfed6,6bc0aec0-f5c6-44f9-a009-983a6fe7a2da,2.0,
0.0,2023-04-12 14:22:33.108,2023-04-12 14:22:33.108,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,496a06af-af06-4cb0-ac37-46d9d1a42691,5165e8c9-fb81-4e36-b968-4923c3676e07,1.0,
0.0,2023-04-12 14:22:33.118,2023-04-12 14:22:33.118,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,1.0,4192c2b6-498c-4c41-8e62-944f39fabe3a,5adc9e37-9870-4e45-9ff1-263fc1c102ef,2.0,
0.0,2023-09-16 03:23:14.084,2023-04-12 14:22:33.137,0.0,5.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,bed3fad7-3efe-4238-b15f-7a1f0de6791d,7c4bd148-79ee-464b-83ae-98c25ebf60e1,0.0,
0.0,2023-04-12 14:22:33.136,2023-04-12 14:22:33.136,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,a1148522-9d8b-4ce6-83ae-90e0eb2f273e,d1d5b59a-bdd5-4e0a-9046-3cd1175e5ca9,1.0,
0.0,2023-04-12 14:22:33.108,2023-04-12 14:22:33.108,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,1.0,8f2ec0fb-5aad-48d8-8476-0f7f9227e189,0a80c97e-8d65-4414-86c5-e6da518a3a94,0.0,
0.0,2023-10-05 16:30:36.329,2023-04-12 14:22:33.136,0.0,1.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,ba1a18cc-476d-4b74-9133-e9a9c3273665,1edd7814-1aff-4a69-959a-763fd8f06299,14.0,
0.0,2023-04-12 14:22:33.119,2023-04-12 14:22:33.119,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,a73d0204-0e89-4514-b515-460e5fd36d40,1c3bc4bf-e958-43be-a5d4-bb708a892d4a,1.0,
0.0,2023-04-12 14:22:33.117,2023-04-12 14:22:33.117,0.0,1.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,667db868-34bd-4987-b66d-0476e8a3e2e1,cd0283d6-45ca-4bdf-97aa-0fdffdc0a0dd,0.0,
0.0,2023-09-07 12:33:06.313,2023-04-12 14:22:33.117,0.0,0.0,5.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,fffe2382-d81c-4c96-ae2a-719fd10be0c3,f258bb56-cea3-4bef-a11e-2a607ed20f94,1.0,
0.0,2023-09-02 00:52:30.831,2023-04-12 14:22:33.137,0.0,2.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,7146928f-92d4-4297-8e69-7e875d559d90,0b97dd1e-ccb7-4d2d-bcd8-419d796ac3d9,0.0,
0.0,2023-04-12 14:22:33.137,2023-04-12 14:22:33.137,0.0,0.0,3.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,e54e129b-0cfb-48ac-b2df-479371008086,594345dc-6abf-45af-b1d2-900a241a9d70,0.0,
1.0,2023-10-03 16:26:31.056,2023-04-12 14:22:33.137,0.0,5.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,befcc340-2c71-4119-84d2-196f7f8a6bf4,4841ee55-dc4d-4e64-a7d9-8ff62941ff25,9.0,
1.0,2023-09-10 23:12:59.698,2023-04-12 14:22:33.117,4.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,1.0,f423bc3b-37a7-45df-b484-000b53ec8eae,229ba80a-cdf1-42cc-860b-ce6dc30a0dc7,0.0,
0.0,2023-10-05 16:30:36.261,2023-04-12 14:22:33.118,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,7757018e-00bf-45a1-9653-48ac0de3476e,1804f321-10b6-4c47-bc38-d49d8bf0cbf6,11.0,
0.0,2023-08-26 16:01:09.254,2023-04-12 14:22:33.117,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,ac2d972b-daf2-4c65-9aee-be8a65cf5c06,7e48dc9e-ee25-4d62-9f74-510c82ed777d,3.0,
0.0,2023-04-12 14:22:33.119,2023-04-12 14:22:33.119,0.0,0.0,2.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,bc8ce40d-0bbb-4920-8cac-24ce416f0708,baed6dc0-39cc-4448-be35-26ddb0384cb9,0.0,
0.0,2023-09-21 16:22:12.086,2023-04-12 14:22:33.119,0.0,4.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,fe510d14-7c69-4968-b145-ceeb8387fa4a,f932ad76-2ab4-4da9-afdb-ecda57609a39,3.0,
0.0,2023-09-24 00:46:31.530,2023-04-12 14:22:33.117,0.0,3.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,da8a5f8c-6c07-4674-a7a8-e9874eac2c56,28077fc9-28b2-46c0-8ff2-b705f291dc3d,0.0,
0.0,2023-04-12 14:22:33.119,2023-04-12 14:22:33.119,0.0,1.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,70ae6a63-a888-4493-97aa-dfd2ee4d12c8,3e3b53de-6b83-4418-a3dc-e5f4f9ee7d4d,1.0,
0.0,2023-09-11 12:40:28.812,2023-04-12 14:22:33.119,0.0,1.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,590caa41-f11e-4567-9489-315a4fab7995,34a6ff5e-3567-4b9f-ac81-6a9c26d2ad7f,1.0,
0.0,2023-09-17 20:01:05.594,2023-04-12 14:22:33.117,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,e0097fdf-ac53-470f-adc6-daab0ea65df4,bbd8319f-419f-40f0-9081-da6df37d1114,6.0,
0.0,2023-09-05 12:55:33.659,2023-04-12 14:22:33.137,0.0,0.0,4.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,cd67dbc3-b625-4b11-a8f1-1c2312d5577e,2e6f6e24-58b3-4b6c-979b-43c7b84ca502,0.0,
0.0,2023-10-05 16:30:36.292,2023-04-12 14:22:33.117,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,fa70ec47-c6dd-41f0-94c0-5196872de0b0,99058d47-f604-490a-8271-ca92df67af66,4.0,
0.0,2023-08-23 16:12:15.633,2023-08-23 16:12:15.633,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,804cb0cc-a94f-4595-8fd9-2f0ff0c3ef5a,46b04b29-7258-4dbf-a99e-7bb8cde62d9d,1.0,
0.0,2023-04-12 14:22:33.119,2023-04-12 14:22:33.119,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,1.0,9bf3d3f0-b3fb-464d-85b0-4ab83baad0b8,680437bf-0d1f-498f-ae62-5dff9bf1356b,0.0,
0.0,2023-09-15 17:28:57.635,2023-04-12 14:22:33.122,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,100cf3de-5ef8-4eac-8e4b-f54c75ef50e0,054e9386-d447-4df9-848d-46014225be77,6.0,
0.0,2023-04-12 14:22:33.136,2023-04-12 14:22:33.136,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,1.0,8a39ec0b-6866-40ed-938b-ea4411dbf450,1e29d6e8-4257-4816-984c-ed7d5ece203e,0.0,
0.0,2023-08-24 23:42:16.721,2023-08-24 23:42:16.721,0.0,1.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,a742c2e5-1c6e-44e0-b585-7c75e35bb4ee,703f3019-ac24-47bd-b3b9-935b8a8e2393,0.0,
0.0,2023-09-30 13:02:29.614,2023-08-27 23:57:01.100,0.0,3.0,6.0,xoyixJvqZs,com.sec.android.app.shealth,1.0,82882a70-d160-4a0b-a1f6-5fd82392f199,beb91d09-bb47-4b90-89eb-6ba66b850743,0.0,
0.0,2023-04-12 14:22:33.108,2023-04-12 14:22:33.108,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,1.0,6762e229-ed40-4f06-8ee2-ba7407faecb2,bdb1e0f6-5d74-407b-a461-a6600199e648,0.0,
0.0,2023-08-31 16:10:48.092,2023-08-31 16:10:48.092,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,5412f542-2eb1-42a9-b91e-bff023d389b7,2b5b71d1-f03d-4a49-b4d9-707832eda5f5,1.0,
0.0,2023-04-12 14:22:33.122,2023-04-12 14:22:33.122,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,1.0,e88478a6-5195-4bb1-b6c8-a236d524dbbc,f1952dec-53da-479a-ab64-65741eefe190,0.0,
1.0,2023-09-18 02:20:07.427,2023-09-18 02:20:07.427,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,6bbb3b56-8da5-4e6c-8c9c-e72840fc3cf5,e36135e5-44aa-4e2b-9041-437613b81fc6,0.0,
0.0,2023-04-12 14:22:33.137,2023-04-12 14:22:33.137,0.0,0.0,1.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,6ea698ca-dac6-445b-a83c-51bad7644d6d,bd5fb1a9-a9d7-4f0c-89ec-a80cf76f6682,0.0,
0.0,2023-04-12 14:22:33.137,2023-04-12 14:22:33.137,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,1d0427aa-88f1-48c9-a2d0-24dedc78c841,f996f973-3626-44f9-a558-f80220a44634,1.0,
0.0,2023-10-06 00:45:58.700,2023-10-06 00:45:58.700,0.0,1.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,e74ad8c6-980e-4062-9a73-2edf2be12184,e4465d47-b025-4e55-a221-be7fdce00fa1,0.0,
0.0,2023-09-06 20:02:02.179,2023-09-06 20:02:02.179,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,96628569-9e4f-4a85-a062-e49afb4df4a8,305e5f75-6cdb-40d0-8aeb-a1823f14dabf,1.0,
0.0,2023-10-05 16:30:36.218,2023-04-12 14:22:33.117,0.0,1.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,5f06aee9-dc09-4f92-b48a-5f5722533175,5d82ab8d-f0a3-4e1e-b88e-c4fea3300b84,23.0,
0.0,2023-04-12 14:22:33.137,2023-04-12 14:22:33.137,0.0,0.0,4.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,a2913669-8e59-47de-86e5-dbfd47c73aad,aea342a0-029a-40e5-9d69-1cbfcb2cfcf5,0.0,
0.0,2023-08-24 23:42:16.771,2023-08-24 23:42:16.771,0.0,1.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,a6ecab5e-9328-4557-9791-b9aee914d065,fa629f67-1dbd-4631-97ce-2d86419bbf09,0.0,
0.0,2023-09-07 12:33:06.361,2023-04-12 14:22:33.117,0.0,2.0,3.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,4a21aa88-e376-4939-b2bb-fa49089d592a,4f9fecde-d6ad-4cd4-810f-cc2414c1b52c,0.0,
0.0,2023-10-04 23:12:06.078,2023-09-28 00:52:02.283,0.0,2.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,6b653361-ecd2-45da-9d10-f10b010bcdb2,fb446a69-67c3-4904-a5dd-a3251b0e65db,0.0,
0.0,2023-04-12 14:22:33.137,2023-04-12 14:22:33.137,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,2.0,41f5887c-1db8-4df8-88ac-76a4a3351278,c1c9b804-1e27-44ce-81b7-9c330c53bacf,0.0,
0.0,2023-09-02 20:57:18.478,2023-09-02 20:57:18.478,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,1.0,dc5eceda-485b-4797-820c-cb29f43c4082,2d48ec35-813b-467a-8faf-de1dce4ea077,0.0,
0.0,2023-10-05 16:30:36.276,2023-04-12 14:22:33.108,0.0,2.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,0941b893-27a7-4471-9d10-a0833d31ee49,45c22f3c-3efa-4666-a695-624cbff0b07f,17.0,
0.0,2023-09-29 01:14:33.969,2023-04-12 14:22:33.108,0.0,5.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,c4bf3bbb-69fa-46d1-b78c-be0888815565,f7caf7ad-bb69-4c8d-8119-2c7c7e4c9d49,0.0,
0.0,2023-09-21 03:10:49.465,2023-09-03 00:12:39.481,0.0,2.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,ab0d7b4d-8c5b-4920-8d93-b8a33a4ad9e5,ed10ed9c-7ab0-4732-a73a-9308ab22c07e,0.0,
0.0,2023-10-06 12:28:59.613,2023-04-12 14:22:33.122,0.0,0.0,36.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,90df634b-d8a4-4c50-8fa9-0928afb21941,853f3365-cf2f-4b8e-af88-23aa401f1e0e,0.0,
0.0,2023-08-29 00:56:21.301,2023-08-23 23:49:34.234,0.0,3.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,e445ec12-90a6-457f-9562-6faa2652e609,bb7d39ce-dc12-4251-97d7-ad925cf7a5dc,0.0,
0.0,2023-04-12 14:22:33.118,2023-04-12 14:22:33.118,0.0,1.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,bca428fe-caa5-4ed4-823a-ca84cb0e3456,a5a421c8-2289-4be8-abc0-49a96e34e89b,0.0,
0.0,2023-08-21 16:34:41.684,2023-08-21 16:34:41.684,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,f3cdcc8e-a2a9-46e6-8471-c79ad103a96b,2b0a422c-bfd8-488c-8434-5931ff74ec8e,1.0,
0.0,2023-10-06 00:45:58.722,2023-04-12 14:22:33.136,0.0,6.0,5.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,1a8e3be9-b02a-4a36-82b4-f52eca73af58,d2f335d2-600f-400b-a600-5ae3fd0c87a5,1.0,
0.0,2023-09-27 15:42:48.097,2023-09-27 15:42:48.097,0.0,0.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,d9f9a7b2-d637-4392-8407-8e1a62ac7d82,3be420f9-471e-422c-a542-592ff6772fe5,1.0,
0.0,2023-04-12 14:22:33.117,2023-04-12 14:22:33.117,0.0,0.0,1.0,xoyixJvqZs,com.sec.android.app.shealth,1.0,ff02e7a0-7ecb-4a2d-96f7-bf84c0b66db4,6eb8d029-4142-42e6-a3f1-86a52e08644c,0.0,
0.0,2023-08-17 01:54:36.235,2023-08-17 01:54:36.235,0.0,0.0,1.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,1753a07c-f58e-438b-90fe-d6c22b838317,5b20fd84-2650-4b90-94de-97a75d2f6a9d,0.0,
0.0,2023-10-06 12:28:59.555,2023-04-12 14:22:33.137,0.0,0.0,43.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,df0666ad-f08f-42f0-9e44-1281170aa6a7,c78ef3d9-a478-40ea-a580-ebd617aac9b5,0.0,
0.0,2023-09-22 16:14:06.041,2023-04-12 14:22:33.118,0.0,5.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,1.0,ee408eda-dd9d-45ec-8b5c-98869f144b98,469a3519-016d-48c2-91b8-a9a8755e404b,1.0,
0.0,2023-09-28 00:52:02.295,2023-09-28 00:52:02.295,0.0,1.0,0.0,xoyixJvqZs,com.sec.android.app.shealth,0.0,da86c9eb-93a3-440e-88e8-52e27c7ac2b5,9cda232c-8d34-447e-9ea4-cdc70154fbf0,0.0,
