com.samsung.shealth.preferences,6233003,2
text_value,service_id,float_value,update_time,create_time,long_value,tag,blob_value,int_value,deviceuuid,pkg_name,double_value,datauuid
,,,2023-04-12 14:05:01.042,2023-04-12 14:05:01.061,,,,1,xoyixJvqZs,com.sec.android.app.shealth,,oobe.sensitive_data_agreement,
,,,2021-12-17 03:40:45.090,2021-10-03 12:03:32.906,,,,0,yfgkJHa6g4,com.sec.android.app.shealth,,weight.tracker_version,
,,,2023-04-12 16:08:16.279,2023-04-12 14:05:07.452,,,,0,yfgkJHa6g4,com.sec.android.app.shealth,,together.setting_gc_invitation,
,tracker.inactive,,2023-04-23 12:52:38.108,2022-12-08 14:57:39.882,,,,1,xoyixJvqZs,com.sec.android.app.shealth,,75-alert.enable,
,tracker.exercise,,2022-12-08 15:30:31.256,2022-12-08 15:30:09.109,,,,0,yfgkJHa6g4,com.sec.android.app.shealth,,34-detection.elliptical.enable,
18:00,tracker.inactive,,2022-12-08 15:31:15.998,2022-12-08 15:31:15.998,,,,,yfgkJHa6g4,com.sec.android.app.shealth,,75-endTimeOfDay,
"{""0"":""DURATION"",""1"":""DISTANCE"",""2"":""CUR_PACE"",""3"":""PERCENT_OF_VO2MAX""}",tracker.exercise,,2022-12-09 11:31:54.580,2022-12-09 11:31:10.914,,,,,2l9vD+Aay/,com.sec.android.app.shealth,,34-1002.workout.data1,
,tracker.exercise,,2023-01-07 19:22:58.670,2023-01-07 19:22:58.670,,,,60,2l9vD+Aay/,com.sec.android.app.shealth,,34-1002.autoLap.time,
,tracker.exercise,,2023-03-16 23:34:18.685,2023-03-16 23:30:25.955,,,,0,2l9vD+Aay/,com.sec.android.app.shealth,,34-9014001.target.enable,
,,,2023-10-06 11:16:28.846,2023-03-25 20:09:44.363,1696590983338,,,,xoyixJvqZs,com.sec.android.app.shealth,,hsp.sync_time_bo,
,,,2023-10-06 15:44:58.215,2023-07-19 07:21:34.295,1696607091246,,,,xoyixJvqZs,com.sec.android.app.shealth,,hsp.sync_time_exercise,
"{""data1_list"":[""DURATION"",""DURATION"",""DURATION""]}",tracker.exercise,,2023-09-24 13:39:45.513,2023-09-24 13:22:05.542,,,,,dFCfDPMS7d,com.sec.android.app.shealth,,34-11007.workoutScreen,
,,,2023-10-06 20:57:27.374,2023-04-12 14:05:04.317,,,,1,yfgkJHa6g4,com.sec.android.app.shealth,,settings.personalization_agreement,
,,,2021-12-18 15:27:21.904,2021-12-18 15:27:21.924,,,,1,yfgkJHa6g4,com.sec.android.app.shealth,,weight.target_switch_status,
,,,2023-04-12 16:08:16.279,2023-04-12 14:05:07.456,,,,0,yfgkJHa6g4,com.sec.android.app.shealth,,together.setting_exposure_level,
,tracker.heartrate,,2022-12-08 14:57:53.916,2022-12-08 14:57:44.599,,,,0,yfgkJHa6g4,com.sec.android.app.shealth,,05-measure.period,
,tracker.exercise,,2022-12-08 15:30:33.547,2022-12-08 15:30:09.113,,,,0,yfgkJHa6g4,com.sec.android.app.shealth,,34-detection.rowing.enable,
"{""fri"":true,""mon"":true,""sat"":false,""sun"":false,""thu"":true,""tue"":true,""wed"":true}",tracker.inactive,,2022-12-08 15:31:17.155,2022-12-08 15:31:17.155,,,,,yfgkJHa6g4,com.sec.android.app.shealth,,75-daysOfWeek,
"{""0"":""DURATION"",""1"":""DISTANCE"",""2"":""AVG_SPEED""}",tracker.exercise,,2023-06-24 12:13:00.888,2022-12-09 11:32:35.132,,,,,dFCfDPMS7d,com.sec.android.app.shealth,,34-11007.workout.data1,
,tracker.exercise,,2023-05-16 22:42:11.696,2023-01-07 19:22:58.712,,,,1,dFCfDPMS7d,com.sec.android.app.shealth,,34-1002.autoLap.type,
,,,2023-10-06 20:32:37.473,2023-03-25 19:36:23.678,1696624352257,,,,xoyixJvqZs,com.sec.android.app.shealth,,hsp.sync_time_heart_rate,
,,,2023-10-06 11:16:28.443,2023-03-25 20:20:22.802,1696590982785,,,,xoyixJvqZs,com.sec.android.app.shealth,,hsp.sync_time_sleep_session,
,tracker.exercise,,2023-09-26 20:09:32.286,2023-09-26 20:09:32.286,,,,1,xoyixJvqZs,com.sec.android.app.shealth,,34-max.hr.auto.update,
,tracker.exercise,,2023-09-23 21:13:58.161,2023-07-20 14:06:30.722,,,34-workout_list2.blob_value.json,,dFCfDPMS7d,com.sec.android.app.shealth,,34-workout_list2,
,,,2023-04-12 14:05:07.413,2023-04-12 14:05:07.429,,,,1,xoyixJvqZs,com.sec.android.app.shealth,,settings.location_agreement,
,,,2021-12-18 15:27:21.905,2021-12-18 15:27:21.927,,,,1,yfgkJHa6g4,com.sec.android.app.shealth,,weight.target_weight_status,
,,,2023-04-12 16:08:16.280,2023-04-12 14:05:07.459,,,,0,yfgkJHa6g4,com.sec.android.app.shealth,,together.setting_ld_auto_addition,
,tracker.heartrate,,2022-12-08 15:29:38.636,2022-12-08 14:57:48.590,,,,1,yfgkJHa6g4,com.sec.android.app.shealth,,05-alert.low.enable,
,tracker.exercise,,2023-04-23 12:51:27.692,2022-12-08 15:30:09.119,,,,1,xoyixJvqZs,com.sec.android.app.shealth,,34-detection.swimming.enable,
,tracker.sleep,,2022-12-08 15:32:27.992,2022-12-08 15:32:22.165,,,,1,yfgkJHa6g4,com.sec.android.app.shealth,,06-snore.setting.option,
,tracker.exercise,5000.0,2022-12-12 17:14:30.402,2022-12-12 17:14:30.402,,,,,2l9vD+Aay/,com.sec.android.app.shealth,,34-11007.autoLap.distance,
,,,2023-01-27 19:28:00.308,2023-01-27 19:28:00.312,,,,1,yfgkJHa6g4,com.sec.android.app.shealth,,sleep_coaching.trial_state,
,,,2023-03-25 19:39:39.627,2023-03-25 19:39:39.632,1679773179553,,,,yfgkJHa6g4,com.sec.android.app.shealth,,hsp.sync_time_bp,
,,,2023-10-06 11:16:40.780,2023-03-25 20:39:03.524,1696590982714,,,,xoyixJvqZs,com.sec.android.app.shealth,,hsp.sync_time_sleep_stage,
,tracker.exercise,,2023-07-20 14:06:30.738,2023-07-20 14:06:30.738,,,34-favorite_list2.blob_value.json,,xoyixJvqZs,com.sec.android.app.shealth,,34-favorite_list2,
,tracker.exercise,,2023-07-16 20:22:45.703,2023-07-16 20:22:42.455,,,,1,dFCfDPMS7d,com.sec.android.app.shealth,,34-11007.autoPause.enable,
